Category_Code,Tower_Code,Category_Name,Description
CAT-AI-001,AI,Data Annotation & Labeling,"Image annotation, segmentation, classification for ML training"
CAT-AI-002,AI,GenAI & RLHF Services,"Response ranking, SFT data creation, DPO generation"
CAT-AI-003,AI,Data Engineering,"ETL pipelines, data warehousing, pipeline maintenance"
CAT-AI-004,AI,AI Testing & Safety,"A/B testing, red teaming, LLM security assessment"
CAT-AI-005,AI,MLOps & Monitoring,"Model performance monitoring, alerting, drift detection"
CAT-AI-006,AI,Domain-Specific AI Data,"Medical, autonomous vehicle, financial AI annotation"
CAT-CL-001,CL,Clinical Project Management,"Study startup, site feasibility, project management"
CAT-CL-002,CL,Regulatory Affairs,"Regulatory submissions, strategy, IND/CTA preparation"
CAT-CL-003,CL,Clinical Monitoring,"Central monitoring, on-site monitoring, site visits"
CAT-CL-004,CL,Clinical Data Management,"eCRF design, database management, medical coding"
CAT-CL-005,CL,Biostatistics,"Statistical analysis, programming, interim analysis"
CAT-CL-006,CL,Medical Writing,"Protocol development, investigator brochures, ICFs"
CAT-CL-007,CL,Pharmacovigilance,"ICSR processing, medical review, safety databases"
CAT-CL-008,CL,Medical Affairs,"Medical information, MSL outsourcing, med comms"
CAT-CO-001,CO,Voice Support,"Tier 1/2 voice support, inquiry response, inbound calls"
CAT-CO-002,CO,Sales Support,"Order management, lead generation, appointment setting"
CAT-CO-003,CO,Technical Support,"Tier 1/2/3 technical support, troubleshooting"
CAT-CO-004,CO,Customer Success,"Customer onboarding, proactive CSM, churn prevention"
CAT-CO-005,CO,Back Office Operations,"Order processing, data entry, document processing"
CAT-CO-006,CO,Collections,"Early/mid/late stage collections, debt recovery"
CAT-CO-007,CO,Digital Support,"Live chat, email response, SMS support"
CAT-CO-008,CO,Social Media Support,"Social customer service, monitoring, community mgmt"
CAT-COP-001,COP,Content Creation,"Blog writing, SEO content, technical writing"
CAT-COP-002,COP,Content Moderation,"UGC review, image/video moderation, trust & safety"
CAT-COP-003,COP,Localization & Translation,"Human translation, MTPE, software localization"
CAT-COP-004,COP,Content Lifecycle Management,"KB maintenance, content migration, refresh cycles"
CAT-COP-005,COP,Content Quality Assurance,"Linguistic QA, copy editing, proofreading"
CAT-EN-001,EN,Meter Operations,"AMI deployment, meter data collection/management"
CAT-EN-002,EN,Grid Operations,"Control center ops, SCADA management, monitoring"
CAT-EN-003,EN,Utility Customer Operations,"Bill calculation, payment processing, collections"
CAT-EN-004,EN,Field Operations,"Emergency restoration, transmission/distribution maint"
CAT-EN-005,EN,Asset Management,"Vegetation mgmt, pole inspection, transformer maint"
CAT-EN-006,EN,Energy Trading Operations,"Energy scheduling, market settlements, transmission"
CAT-EN-007,EN,Regulatory Compliance,"NERC O&P, NERC CIP, environmental compliance"
CAT-EN-008,EN,Demand Response,"Demand response mgmt, load curtailment, direct control"
CAT-FA-001,FA,Accounts Payable,"Invoice processing, payments, vendor master data"
CAT-FA-002,FA,Accounts Receivable,"Customer invoicing, cash application, collections"
CAT-FA-003,FA,General Ledger,"Journal entries, account/bank reconciliation"
CAT-FA-004,FA,Financial Reporting,"Month-end close, financial statements, consolidation"
CAT-FA-005,FA,Treasury,"Cash positioning, forecasting, treasury reconciliation"
CAT-FA-006,FA,Tax Services,"Corporate tax, tax provision, sales & use tax"
CAT-FA-007,FA,Procurement Operations,"Requisitions, PO management, supplier onboarding"
CAT-FA-008,FA,FP&A,"Budget development, forecasting, financial modeling"
CAT-FA-009,FA,Management Reporting,"Budgeting support, forecasting services, reporting"
CAT-FA-010,FA,Audit & Compliance,"SEC filings, XBRL tagging, statutory audit support"
CAT-FR-001,FR,Building Operations,"Janitorial, reception, pest control"
CAT-FR-002,FR,Property Management,"Lease administration, property accounting, CAM"
CAT-FR-003,FR,Building Systems,"HVAC, electrical, plumbing maintenance"
CAT-FR-004,FR,Physical Security,"Uniformed officers, access control, surveillance"
CAT-FR-005,FR,Food Services,"Cafe management, vending, micro-markets"
CAT-FR-006,FR,Mail & Shipping,"Mailroom operations, shipping, digital mailroom"
CAT-FR-007,FR,Space Management,"Space planning, move management, meeting rooms"
CAT-FR-008,FR,Sustainability,"Sustainability reporting, recycling management"
CAT-FR-009,FR,Workplace Strategy,"Workplace strategy, space planning services"
CAT-FR-010,FR,Energy Management,"Utility procurement, energy consulting, BAS"
CAT-FR-011,FR,Grounds & Exterior,"Landscaping, snow/ice removal, exterior pest control"
CAT-FR-012,FR,Transportation Services,"Parking operations, shuttle services, fleet mgmt"
CAT-HR-001,HR,Medical & Health Claims,"Claims adjudication, TPA administration, formulary"
CAT-HR-002,HR,HR Policy & Compliance,"Policy admin, change management, compliance auditing"
CAT-HR-003,HR,Workforce Management,"Scheduling, labor forecasting, contingent workforce"
CAT-HR-004,HR,Leave & Disability,"Life/disability claims, LOA admin, unemployment"
CAT-HR-005,HR,Health & Wellbeing,"EAP, wellness programs, mental health services"
CAT-HR-006,HR,Talent Acquisition,"Full-cycle recruitment, sourcing, screening"
CAT-HR-007,HR,Benefits Administration,"Open enrollment, eligibility, COBRA admin"
CAT-HR-008,HR,Learning & Development,"LMS admin, training content, compliance training"
CAT-HR-009,HR,Payroll & Compensation,"Payroll processing, tax filing, garnishments"
CAT-HR-010,HR,Miscellaneous HR Services,"Other HR payment and admin services"
CAT-IT-001,IT,Application Development,"Custom/mobile app development, API integration"
CAT-IT-002,IT,Infrastructure Management,"Server admin, storage, virtualization"
CAT-IT-003,IT,Service Desk,"Incident mgmt, service requests, password resets"
CAT-IT-004,IT,Cloud Services,"Cloud infrastructure, migration, cost optimization"
CAT-IT-005,IT,Cybersecurity,"SOC, incident response, vulnerability management"
CAT-IT-006,IT,Data & Analytics,"Data engineering, BI services, data science/ML"
CAT-IT-007,IT,IT Consulting,"IT strategy, enterprise architecture, program mgmt"
CAT-IT-008,IT,Network & Communications,"Voice services, data connectivity, unified comms"
CAT-ME-001,ME,Production Services,"Dailies processing, data wrangling, transcoding"
CAT-ME-002,ME,Post-Production,"Offline editorial, color grading, online conform"
CAT-ME-003,ME,Distribution & Delivery,"DCP mastering, KDM management, OTT delivery"
CAT-ME-004,ME,Rights Management,"Rights tracking, royalty calculation, clearance"
CAT-ME-005,ME,Subtitling & Captioning,"Subtitle creation/translation, SDH, closed captions"
CAT-ME-006,ME,Quality Control,"Automated/manual QC, audio QC"
CAT-ME-007,ME,Media Asset Management,"MAM implementation, ingest services, metadata"
CAT-ME-008,ME,VFX & Animation,"3D modeling, character animation, motion capture"
CAT-MO-001,MO,Contract Manufacturing,"Turnkey manufacturing, build-to-order, PCB assembly"
CAT-MO-002,MO,Quality Control,"Incoming/in-process/final inspection"
CAT-MO-003,MO,Equipment Maintenance,"Preventive, predictive, breakdown maintenance"
CAT-MO-004,MO,Process Engineering,"Process development, DFM analysis, time studies"
CAT-MO-005,MO,Tooling,"Injection molds, die casting, fixture manufacturing"
CAT-MO-006,MO,Assembly Services,"Mechanical/electronic sub-assembly, final assembly"
CAT-MO-007,MO,Testing Services,"Functional, environmental, non-destructive testing"
CAT-MO-008,MO,Packaging,"Primary/secondary packaging, contract filling"
CAT-PS-001,PS,Legal Process Outsourcing,"Document review, eDiscovery, legal research"
CAT-PS-002,PS,Media & Advertising,"Media planning/buying, digital advertising"
CAT-PS-003,PS,Strategy Consulting,"Corporate strategy, growth strategy, market entry"
CAT-PS-004,PS,Operations Consulting,"Operating model design, process optimization"
CAT-PS-005,PS,Engineering Services,"Product design engineering, mechanical/electrical"
CAT-PS-006,PS,Design Services,"UX/UI design, service design, brand identity"
CAT-PS-007,PS,Market Research,"Consumer research, brand tracking, product testing"
CAT-PS-008,PS,Communications,"Media relations, crisis comms, internal comms"
CAT-PS-009,PS,Research & Intelligence,"Syndicated/custom research, competitive intel"
CAT-PS-010,PS,Executive Coaching,"C-suite coaching, leadership development, team effectiveness"
CAT-PS-011,PS,Government Affairs,"Federal lobbying, state/local affairs, regulatory strategy"
CAT-PS-012,PS,Creative Services,"Brand strategy, packaging design, industrial design"
CAT-PS-013,PS,Sustainability Consulting,"ESG strategy, carbon accounting, climate risk"
CAT-SC-001,SC,Strategic Sourcing,"Strategic sourcing, category management, spend analysis"
CAT-SC-002,SC,Parcel & Last Mile,"PO processing, express/overnight, last-mile delivery"
CAT-SC-003,SC,Freight & Transportation,"Freight forwarding, LTL/FTL shipping"
CAT-SC-004,SC,Warehousing,"Pick/pack, receiving/put-away, pallet storage"
CAT-SC-005,SC,Transportation Management,"TMS operations, freight audit, load planning"
CAT-SC-006,SC,Inventory Management,"VMI services, demand forecasting, inventory planning"
CAT-SC-007,SC,Trade Compliance,"Customs brokerage, HS classification, FTA management"
CAT-SC-008,SC,Reverse Logistics,"Returns processing, refurbishment, RMA management"
CAT-SC-009,SC,Fulfillment Services,"Fulfillment, kitting/assembly, contract packaging"
CAT-SC-010,SC,Fleet Management,"Fleet leasing, fleet maintenance, telematics"
CAT-SC-011,SC,Asset Recovery,"Returns processing, refurbishment, asset recovery"
CAT-SC-012,SC,SC Technology Services,"TMS/WMS managed services, visibility platforms"
CAT-IV-001,IV,Healthcare BPO,"Healthcare-specific outsourcing, RCM, payer ops"
CAT-IV-002,IV,Insurance BPO,"Insurance policy admin, claims, underwriting"
CAT-IV-003,IV,Financial Services BPO,"Banking ops, capital markets, fund admin"
