Tower_Code,Tower_Name,Description,Status,Service_Type_Count,Vendor_Count,Sort_Order,Icon_Key,APQC_Process_Group
HR,Human Resources,"HR outsourcing, payroll, benefits, talent acquisition",Active,9,10,0,,
FA,Finance & Accounting,"F&A BPO, accounts payable/receivable, FP&A",Active,35,34,0,,
IT,Information Technology,"IT services, infrastructure, application management",Active,46,82,0,,
CO,Customer Operations,"Contact center, customer service, technical support",Active,48,17,0,,
PS,Professional Services,"Consulting, legal, advisory services",Active,0,0,0,,
CL,Clinical/Life Sciences,"Clinical trials, regulatory affairs, pharmacovigilance",Active,0,0,0,,
AI,AI & Data Services,"Data annotation, AI training, MLOps",Active,10,40,0,,
COP,Content Operations,"Content moderation, trust & safety, localization",Active,19,37,0,,
SC,Supply Chain,"Logistics, procurement, inventory management",Active,77,114,0,,
FR,Facilities & Real Estate,"Facilities management, real estate services",Active,41,81,0,,
ME,Media & Entertainment,"Video production, post-production, content distribution",Active,0,0,0,,
EN,Energy & Utilities,"Meter operations, grid management, utility services",Active,0,0,0,,
MO,Manufacturing Operations,"Contract manufacturing, QC, assembly, packaging",Active,0,0,0,,
IV,Industry Verticals,"Industry-specific BPO (Healthcare, Insurance, Financial Services)",Active,0,0,0,,
ALL,All Towers,Synthetic; contract benchmarks that apply across all towers,Active,0,0,0,,
CX,Customer Experience,Alias for Customer Operations (contact center); used in TBL-014,Active,0,0,0,,
CNAS,Corporate Non-Addressable Spend,"Corporate travel, intercompany, memberships, statutory taxes",Active,0,0,0,,
MK,Marketing & Growth Services,"Marketing operations, campaign execution, creative production",Active,48,0,0,,
RC,Risk & Compliance,"Compliance, risk operations, audit support",Active,43,0,0,,
ENG,Engineering & Product Development,"Cloud & DevOps, product development, engineering operations",Active,38,0,0,,
