Alias_ID,User_Term,Service_Type_ID,Service_Type_Name,Confidence,Source,Usage_Count,Created_Date,Is_Active,Tower_Code
ALI-00001,1099 preparation,ST-FA-001-01-07,1099 Reporting,LOW,SEED,0,2025-01-01,TRUE,
ALI-00002,1099 reporting,ST-FA-001-01-07,1099 Reporting,HIGH,SEED,0,2025-01-01,TRUE,
ALI-00003,24/7 dba on-call support,ST-IT-002-05-10,24/7 DBA On-Call Support,HIGH,SEED,0,2025-01-01,TRUE,
ALI-00004,3d & lidar annotation,ST-AI-002-05-01,3D & LiDAR Annotation Services,MEDIUM,SEED,0,2025-01-01,TRUE,
ALI-00005,3d & lidar annotation services,ST-AI-002-05-01,3D & LiDAR Annotation Services,HIGH,SEED,0,2025-01-01,TRUE,
ALI-00006,3d modeling,ST-ME-008-01-01,3D Modeling,HIGH,SEED,0,2025-01-01,TRUE,
ALI-00007,3d point cloud annotation,ST-AI-001-05-01,3D Point Cloud Annotation,HIGH,SEED,0,2025-01-01,TRUE,
ALI-00008,a/b testing infrastructure,ST-AI-004-05-01,A/B Testing Infrastructure,HIGH,SEED,0,2025-01-01,TRUE,
ALI-00009,absence,ST-HR-009-01-05,Absence Management,MEDIUM,SEED,0,2025-01-01,TRUE,
ALI-00010,absence management,ST-HR-009-01-05,Absence Management,HIGH,SEED,0,2025-01-01,TRUE,
ALI-00011,access control,ST-FR-004-01-02,Access Control,HIGH,SEED,0,2025-01-01,TRUE,
ALI-00012,access control systems,ST-FR-006-02-01,Access Control Systems Services,MEDIUM,SEED,0,2025-01-01,TRUE,
ALI-00013,access control systems services,ST-FR-006-02-01,Access Control Systems Services,HIGH,SEED,0,2025-01-01,TRUE,
ALI-00014,accessibility compliance,ST-COP-005-04-01,Accessibility Compliance,HIGH,SEED,0,2025-01-01,TRUE,
ALI-00015,account certification,ST-FA-004-02-04,Account Certification,HIGH,SEED,0,2025-01-01,TRUE,
ALI-00016,account maintenance,ST-CO-005-01-03,Account Maintenance,HIGH,SEED,0,2025-01-01,TRUE,
ALI-00017,account reconciliation,ST-FA-003-01-02,Account Reconciliation,HIGH,SEED,0,2025-01-01,TRUE,
ALI-00018,accounts payable,ST-FA-001-02-01,Expense Reimbursement Processing,HIGH,SEED,0,2025-01-01,TRUE,
ALI-00019,accounts receivable,ST-FA-002-01-01,Customer Invoicing,HIGH,SEED,0,2025-01-01,TRUE,
ALI-00020,accruals,ST-FA-003-01-05,Accruals Management,MEDIUM,SEED,0,2025-01-01,TRUE,
ALI-00021,accruals management,ST-FA-003-01-05,Accruals Management,HIGH,SEED,0,2025-01-01,TRUE,
ALI-00022,accurate pay calculations,ST-HR-009-02-04,Time & Attendance Integration,LOW,SEED,0,2025-01-01,TRUE,
ALI-00023,ad moderation,ST-COP-002-05-01,Ad Moderation,HIGH,SEED,0,2025-01-01,TRUE,
ALI-00024,adaptive maintenance,ST-IT-001-02-03,Adaptive Maintenance,HIGH,SEED,0,2025-01-01,TRUE,
ALI-00025,adjudication,ST-HR-001-01-01,Medical Claims Adjudication,LOW,SEED,0,2025-01-01,TRUE,
ALI-00026,administrative staffing,ST-HR-003-04-03,Administrative Staffing,HIGH,SEED,0,2025-01-01,TRUE,
ALI-00027,aerial inspection,ST-EN-005-01-05,Aerial Inspection,HIGH,SEED,0,2025-01-01,TRUE,
ALI-00028,after-hours support,ST-CO-001-01-04,After-Hours Support,HIGH,SEED,0,2025-01-01,TRUE,
ALI-00029,aggregate reports,ST-CL-007-01-04,Aggregate Reports,HIGH,SEED,0,2025-01-01,TRUE,
ALI-00030,aggregate safety reporting (psur/pbrer),ST-CL-004-03-01,Aggregate Safety Reporting (PSUR/PBRER) Services,MEDIUM,SEED,0,2025-01-01,TRUE,
ALI-00031,aggregate safety reporting (psur/pbrer) services,ST-CL-004-03-01,Aggregate Safety Reporting (PSUR/PBRER) Services,HIGH,SEED,0,2025-01-01,TRUE,
ALI-00032,ai chatbot development,ST-AI-002-02-05,AI Chatbot Development,HIGH,SEED,0,2025-01-01,TRUE,
ALI-00033,ai content generation,ST-AI-002-02-06,AI Content Generation,HIGH,SEED,0,2025-01-01,TRUE,
ALI-00034,ai red teaming,ST-AI-004-03-01,AI Red Teaming,HIGH,SEED,0,2025-01-01,TRUE,
ALI-00035,ai-assisted moderation,ST-COP-002-02-01,AI-Assisted Moderation,HIGH,SEED,0,2025-01-01,TRUE,
ALI-00036,ai-assisted moderation,ST-ME-008-02-01,AI-Assisted Moderation Services,MEDIUM,SEED,0,2025-01-01,TRUE,
ALI-00037,ai-assisted moderation services,ST-ME-008-02-01,AI-Assisted Moderation Services,HIGH,SEED,0,2025-01-01,TRUE,
ALI-00038,all bs accounts,ST-FA-004-02-04,Account Certification,LOW,SEED,0,2025-01-01,TRUE,
ALI-00039,ami deployment,ST-EN-001-01-01,AMI Deployment,HIGH,SEED,0,2025-01-01,TRUE,
ALI-00040,analysis,ST-CL-002-01-03,IND/CTA Preparation,LOW,SEED,0,2025-01-01,TRUE,
