Service_Type_ID,Category_Code,Parent_Category_Code,Service_Type_Name,Description,Delivery_Channel,Primary_Pricing_Model,Benchmark_Unit,Frontline_Agent_Type,Managed_Service_Load,Tier_Structure,Default_AHT_Minutes,Required_Modifiers,Optional_Modifiers,Typical_Vendors,Confidence,AHT_Data_Tier,AHT_Source,Complexity_Tier,Service_Unit_Name,Service_Unit_Definition,Typical_Volume_Low,Typical_Volume_High,Confidence_Score
ST-COP-001-01-01,CAT-COP-001,CAT-COP-001,Machine Translation Post-Editing,"Edit machine-translated text to meet readability, terminology, and brand standards while preserving the source meaning. The primary frontline role is an MTPE Linguist. SLAs commonly track words-per-hour productivity, linguistic quality scores, and on-time delivery rates.",Async,T&M,Hour,Translation_MTPE,Standard,,,,,,MEDIUM,UNKNOWN,,Standard,,,,,
ST-COP-001-01-02,CAT-COP-001,CAT-COP-001,Professional Translation & Localization,"Translate and localize content for target languages, adapting terminology and cultural references to the intended market and audience. The primary frontline role is a Professional Translator or Localizer. SLAs typically include linguistic quality, terminology adherence, and turnaround time per word count or content batch.",Async,T&M,Hour,Translator,Standard,,,,,,MEDIUM,UNKNOWN,,Standard,,,,,
ST-COP-002-01-01,CAT-COP-002,CAT-COP-002,CMS Operations & Page Production,"Produce and update web pages and CMS entries using templates and governance rules, including scheduling and version control. The primary frontline role is a CMS Publisher. SLAs commonly include publish turnaround time, template/brand compliance, and defect rates found in QA.",Async,T&M,Hour,Content_Moderator,Standard,,,,,,MEDIUM,UNKNOWN,,Standard,,,,,
ST-COP-002-01-02,CAT-COP-002,CAT-COP-002,Content Migration & Publishing Operations,"Migrate and publish content between systems (CMS/platform changes), including formatting, redirects, and structured content updates. The primary frontline role is a Content Operations Specialist. SLAs typically include migration accuracy, zero-data-loss checks, and turnaround time per batch.",Async,T&M,Hour,Marketing_Specialist,Standard,,,,,,MEDIUM,UNKNOWN,,Standard,,,,,
ST-COP-002-01-03,CAT-COP-002,CAT-COP-002,Content QA & Link Validation,"Perform publishing QA checks such as link validation, formatting review, and basic functional checks before and after release. The primary frontline role is a Content QA Specialist. SLAs commonly include defect detection rate, QA turnaround time, and post-release issue rates.",Async,T&M,Hour,Marketing_Specialist,Standard,,,,,,MEDIUM,UNKNOWN,,Standard,,,,,
ST-COP-002-01-04,CAT-COP-002,CAT-COP-002,Digital Asset Management & Metadata Tagging,"Catalog and maintain digital assets (images, videos, documents) with standardized metadata and taxonomy tags to improve discoverability. The primary frontline role is a Digital Asset Librarian. SLAs typically include metadata accuracy, tagging throughput, and retrieval/duplication error rates.",Async,T&M,Hour,Content_Moderator,Standard,,,,,,MEDIUM,UNKNOWN,,Standard,,,,,
ST-COP-003-01-01,CAT-COP-003,CAT-COP-003,Abuse Reporting Triage & Case Management,"Triage incoming abuse reports (user reports, automated flags, partner escalations), route cases to the correct queues, and maintain case notes and evidence. The primary frontline role is a Trust & Safety Case Manager. SLAs usually cover queue response times, correct routing accuracy, and case documentation completeness.",Async,T&M,Hour,Content_Manager,Standard,,,,,,MEDIUM,UNKNOWN,,Standard,,,,,
ST-COP-003-01-02,CAT-COP-003,CAT-COP-003,Account Takeover & Identity Verification Operations,"Verify user identity and resolve account takeover cases using KYC-style checks, document validation, and secure workflows. The primary frontline role is an Identity Verification Specialist. SLAs typically include verification turnaround time, false-accept/false-reject rates, and secure handling compliance.",Async,T&M,Hour,Marketing_Specialist,Standard,,,,,,MEDIUM,UNKNOWN,,Standard,,,,,
ST-COP-003-01-03,CAT-COP-003,CAT-COP-003,Child Safety & Exploitation Response Operations,"Handle child safety and exploitation-related incidents with specialized triage, evidence handling, and escalation to designated safety channels. The primary frontline role is a Child Safety Response Specialist. SLAs focus on rapid escalation, policy/legal handling compliance, and high-confidence decision accuracy with enhanced QA.",Async,T&M,Hour,Marketing_Specialist,Standard,,,,,,MEDIUM,UNKNOWN,,Standard,,,,,
ST-COP-003-01-04,CAT-COP-003,CAT-COP-003,"Fraud, Scam & Abuse Investigation Services","Investigate fraud, scams, and coordinated abuse behaviors by analyzing signals, tracing patterns, and recommending enforcement or remediation actions. The primary frontline role is a Trust & Safety Investigator. SLAs commonly focus on investigation closure time, accuracy of findings, and measurable risk reduction (e.g., confirmed fraud rate).",Async,T&M,Hour,Content_Moderator,Standard,,,,,,MEDIUM,UNKNOWN,,Standard,,,,,
