vendorId,vendorName,primaryTower,secondaryTowers,hqCountry,ownership,revenueUsd,employeeCount,deliveryCenterCount,deliveryLocations,certifications,keyClients,serviceCapabilities,competitivePosition,strengths,weaknesses,redFlags,pricingModel,financialHealthScore,batch
VND-0001,Accenture,HR,"IT,FA,PS,CO,SC",Ireland,Independent,$64900M,774000.0,4.0,"NA, EMEA, APAC, LATAM","ISO 27001, SOC 1/2, ISAE 3402",Fortune 500 enterprises,"Payroll Processing, Application Development, Accounts Payable, Source-to-Pay, Customer Service, Freight Forwarding",Everest MPHRO Leader; ISG Leader; HfS #1 EX,"HR transformation, SynOps platform, LearnVantage",,,"FTE-based, PEPM, Transaction-based",A,
VND-0002,ADP,HR,,USA,Independent,$19000M,63000.0,4.0,"NA, EMEA, APAC, LATAM","ISO 27001, SOC 1/2, GDPR",950K+ employers globally,Payroll Processing,Everest MPHRO Leader; NelsonHall Leader; Gartner HCM Leader,"Payroll, HCM, Benefits, GlobalView platform",Integration uncertainty from recent M&A,,"FTE-based, PEPM, Transaction-based",A,
VND-0003,TCS,HR,"IT,FA,CO",India,Tata Group,$30200M,607000.0,4.0,"NA, EMEA, APAC, LATAM","ISO 27001, CMMI Level 5, SOC 2","Fortune 500, global banks","Payroll Processing, Application Development, Accounts Payable, Customer Service",Everest MPHRO Leader; Gartner PCITS Leader; ISG Leader,"Cognix platform, Workday expertise, BFSI",,,"FTE-based, PEPM, Transaction-based",A,
VND-0004,Capgemini,HR,"IT,FA,SC",France,Independent,$24000M,340000.0,4.0,"NA, EMEA, APAC, LATAM","ISO 27001, SOC 2, ISAE 3402",Global 2000 enterprises,"Payroll Processing, Application Development, Accounts Payable, Freight Forwarding",Everest MPHRO Leader; Gartner FAO Leader; ISG Leader,"Les Fontaines learning, SAP, European delivery",Integration uncertainty from recent M&A,,"FTE-based, PEPM, Transaction-based",A,
VND-0005,IBM,HR,"IT,FA,PS",USA,Independent,$62800M,282000.0,4.0,"NA, EMEA, APAC, LATAM","ISO 27001, FedRAMP, SOC 2",97 of Fortune 100,"Payroll Processing, Application Development, Accounts Payable, Source-to-Pay",Everest MPHRO Leader; ISG Cybersecurity Leader (6 quadrants),"Watson AI, Red Hat hybrid cloud, Enterprise Design Thinking",,,"FTE-based, PEPM, Transaction-based",A,
VND-0006,Conduent,HR,CO,USA,Independent,$3360M,55000.0,1.0,,"ISO 27001, SOC 1/2, HIPAA","Fortune 500, state governments","Payroll Processing, Customer Service",NelsonHall Leader (6 segments); ISG Leader,"Benefits admin, HRO-in-a-Box, Life@Work Connect",,,"FTE-based, PEPM, Transaction-based",B,
VND-0007,Strada,HR,,USA,Independent,$1200M,15000.0,1.0,,"SOC 1/2, ISO 27001",Large enterprises (Alight heritage),Payroll Processing,ISG MPHRO Leader; Everest MCP Leader,"Payroll, HRO integration, GenAI",Post-spinoff transition risks,,"FTE-based, PEPM, Transaction-based",B,
VND-0008,Wipro,HR,"IT,FA",India,Independent,$11300M,234000.0,4.0,"NA, EMEA, APAC, LATAM","ISO 27001, CMMI Level 5, SOC 2",Global 500 enterprises,"Payroll Processing, Application Development, Accounts Payable",Everest MPHRO Star Performer; Gartner PCITS Leader,"WizHRd framework, One-Wipro approach",,,"FTE-based, PEPM, Transaction-based",A,
VND-0009,Cognizant,HR,"IT,FA,CO,IN",USA,Independent,$19740M,336800.0,4.0,"NA, EMEA, APAC, LATAM","ISO 27001, HITRUST, SOC 2","Fortune 500, healthcare payers","Payroll Processing, Application Development, Accounts Payable, Customer Service, Policy Administration",Everest AI Star Performer; ISG AWS Leader; Forrester MAD Leader,"Healthcare, TriZetto, Neuro AI, Flowsource",Integration uncertainty from recent M&A,,"FTE-based, PEPM, Transaction-based",A,
VND-0010,Infosys,HR,"IT,FA,PS",India,Independent,$19280M,323578.0,4.0,"NA, EMEA, APAC, LATAM","ISO 27001, CMMI Level 5, SOC 2","Global 2000, BFSI leaders","Payroll Processing, Application Development, Accounts Payable, Source-to-Pay",Gartner PCITS Leader; Everest AMS Leader; Forrester Leader,"Cobalt cloud, Topaz AI, Mainframe services",,,"FTE-based, PEPM, Transaction-based",A,
VND-0011,Paychex,HR,,USA,Independent,$5200M,16000.0,4.0,"NA, EMEA, APAC, LATAM","SOC 1/2, ESAC accredited",740K+ SMB clients,Payroll Processing,NelsonHall Payroll Leader (8th year); ISG Leader,"SMB payroll, Paychex Flex platform",May lack enterprise-grade SLAs,,"FTE-based, PEPM, Transaction-based",A,
VND-0012,UKG,HR,,USA,Independent,$4700M,15000.0,4.0,"NA, EMEA, APAC, LATAM","ISO 27001, SOC 2, GDPR",80K+ organizations,Payroll Processing,NelsonHall Payroll Leader; ISG Leader; Gartner HCM Leader,"HCM+WFM integration, Bryte AI, UKG One View",Integration uncertainty from recent M&A,,"FTE-based, PEPM, Transaction-based",A,
VND-0013,Workday,HR,CL,USA,Independent,$8000M,18800.0,4.0,"NA, EMEA, APAC, LATAM","ISO 27001, SOC 1/2, FedRAMP",50% of Fortune 500,"Payroll Processing, MSP",Gartner HCM Leader; Everest VMS Leader,"Cloud HCM, Workday VNDLY (VMS)",Integration uncertainty from recent M&A,,"FTE-based, PEPM, Transaction-based",A,
VND-0014,SAP SuccessFactors,HR,,Germany,SAP SE,$4500M,100000.0,4.0,"NA, EMEA, APAC, LATAM","ISO 27001, SOC 2, C5",200M+ users globally,Payroll Processing,Gartner HCM Leader; ISG Leader,"Enterprise HCM, Qualtrics integration, Joule AI",,,"FTE-based, PEPM, Transaction-based",A,
VND-0015,Oracle HCM,HR,,USA,Oracle,$5000M,164000.0,4.0,"NA, EMEA, APAC, LATAM","ISO 27001, SOC 2, FedRAMP",Enterprise HCM leaders,Payroll Processing,Gartner HCM Leader; Everest Leader,"Enterprise HCM, Fusion Cloud",,,"FTE-based, PEPM, Transaction-based",A,
VND-0016,Dayforce,HR,,USA,Independent,$1800M,9000.0,1.0,,"SOC 1/2, ISO 27001",6K+ enterprise customers,Payroll Processing,ISG Payroll Leader; NelsonHall HCM Leader; Gartner Leader,"Continuous calculation engine, single database",,,"FTE-based, PEPM, Transaction-based",B,
VND-0017,Deel,HR,,USA,Independent,$600M,4000.0,1.0,,"ISO 27001, SOC 2","35K+ companies, Shopify",Payroll Processing,NelsonHall EOR Evaluated; ISG Rising Star,"EOR, global payroll, 150+ countries",,,"FTE-based, PEPM, Transaction-based",B,
