Modifier_Code,Modifier_Name,Question_Text,Value_Type,Common_Values,Triggers_For,Priority,Required_By_Default,Modifier_Category,Application_Type,Application_Step,Max_Adjustment_Pct
LOC_PREMIUM,Location Cost Index,Where will services be delivered from?,derived,,ALL,1,False,A_LOCATION,MULTIPLICATIVE,2,
LOC_US_REF,US Reference Index,(display only — derived from LOC_PREMIUM),derived,,ALL,2,False,A_LOCATION,MULTIPLICATIVE,2,
CITY_TIER,City Tier Differential,Which city specifically?,single_select,,ALL,3,False,A_LOCATION,MULTIPLICATIVE,2,15.00
ONSHORE_PREMIUM,Onshore Delivery Premium,Is onshore (US/UK) delivery required?,boolean,,ALL,4,False,A_LOCATION,MULTIPLICATIVE,2,
NEARSHORE_PREMIUM,Nearshore Delivery Premium,Is nearshore (LATAM/E.Europe) delivery acceptable?,boolean,,ALL,5,False,A_LOCATION,MULTIPLICATIVE,2,
CLINICAL_SPEC,Clinical/GxP Specialization,Does this require clinical/GxP domain expertise?,boolean,,"CL,HR",6,False,B_SPECIALIZATION,MULTIPLICATIVE,3,40.00
AI_ML_SPEC,AI/ML Engineering,Does this require AI/ML engineering skills?,boolean,,"AI,IT",7,False,B_SPECIALIZATION,MULTIPLICATIVE,3,30.00
CYBERSEC_SPEC,Cybersecurity Specialization,Does this require cybersecurity specialization?,boolean,,IT,8,False,B_SPECIALIZATION,MULTIPLICATIVE,3,50.00
LEGAL_SPEC,Legal (JD Required),Does this require a licensed attorney?,boolean,,PS,9,False,B_SPECIALIZATION,MULTIPLICATIVE,3,100.00
MULTI_LANG,Multilingual Requirement,What languages beyond English are required?,multi_select,,"CO,COP,HR",10,False,B_SPECIALIZATION,MULTIPLICATIVE,3,40.00
NIGHT_SHIFT,Night/Weekend Shift,Is non-business-hours coverage required?,single_select,,"CO,IT,FA",11,False,B_SPECIALIZATION,MULTIPLICATIVE,3,20.00
SEC_CLEARANCE,Security Clearance,What security clearance level is required?,single_select,,"IT,PS",12,False,B_SPECIALIZATION,MULTIPLICATIVE,3,80.00
FINANCIAL_SPEC,Financial Services Domain,Does this require financial services domain expertise?,boolean,,"FA,IT,PS",13,False,B_SPECIALIZATION,MULTIPLICATIVE,3,25.00
HEALTHCARE_SPEC,Healthcare Domain,Does this require healthcare domain expertise (beyond HIPAA)?,boolean,,"HR,IT,CO",14,False,B_SPECIALIZATION,MULTIPLICATIVE,3,20.00
GOV_SPEC,Government Domain,Does this require government/public sector expertise?,boolean,,"IT,PS",15,False,B_SPECIALIZATION,MULTIPLICATIVE,3,35.00
COMPLEXITY_ADJ,Complexity Tier,What is the complexity level of this service?,single_select,,ALL,16,False,B_SPECIALIZATION,MULTIPLICATIVE,4,
VOLUME_DISCOUNT,Volume Tier Discount,What is the approximate monthly transaction volume?,single_select,,ALL,17,False,C_VOLUME,ADDITIVE,6,-15.00
