Category_Code,Tower_Code,Category_Name,Description,APQC_Category_Ref,FB_Category_Ref,Falcon_Category_Ref,Sort_Order,Validated_By_Assessment
CAT-AI-001,AI,Data Annotation & Labeling,"Image annotation, segmentation, classification for ML training",,,,0,FALSE
CAT-AI-002,AI,GenAI & RLHF Services,"Response ranking, SFT data creation, DPO generation",,,,0,FALSE
CAT-AI-003,AI,Data Engineering,"ETL pipelines, data warehousing, pipeline maintenance",,,,0,FALSE
CAT-AI-004,AI,AI Testing & Safety,"A/B testing, red teaming, LLM security assessment",,,,0,FALSE
CAT-AI-005,AI,MLOps & Monitoring,"Model performance monitoring, alerting, drift detection",,,,0,FALSE
CAT-AI-006,AI,Domain-Specific AI Data,"Medical, autonomous vehicle, financial AI annotation",,,,0,FALSE
CAT-CL-001,CL,Clinical Project Management,"Study startup, site feasibility, project management",,,,0,FALSE
CAT-CL-002,CL,Regulatory Affairs,"Regulatory submissions, strategy, IND/CTA preparation",,,,0,FALSE
CAT-CL-003,CL,Clinical Monitoring,"Central monitoring, on-site monitoring, site visits",,,,0,FALSE
CAT-CL-004,CL,Clinical Data Management,"eCRF design, database management, medical coding",,,,0,FALSE
CAT-CL-005,CL,Biostatistics,"Statistical analysis, programming, interim analysis",,,,0,FALSE
CAT-CL-006,CL,Medical Writing,"Protocol development, investigator brochures, ICFs",,,,0,FALSE
CAT-CL-007,CL,Pharmacovigilance,"ICSR processing, medical review, safety databases",,,,0,FALSE
CAT-CL-008,CL,Medical Affairs,"Medical information, MSL outsourcing, med comms",,,,0,FALSE
CAT-CO-001,CO,Voice Support,"Tier 1/2 voice support, inquiry response, inbound calls",,,,0,FALSE
CAT-CO-002,CO,Sales Support,"Order management, lead generation, appointment setting",,,,0,FALSE
CAT-CO-003,CO,Technical Support,"Tier 1/2/3 technical support, troubleshooting",,,,0,FALSE
CAT-CO-004,CO,Customer Success,"Customer onboarding, proactive CSM, churn prevention",,,,0,FALSE
CAT-CO-005,CO,Back Office Operations,"Order processing, data entry, document processing",,,,0,FALSE
CAT-CO-006,CO,Collections,"Early/mid/late stage collections, debt recovery",,,,0,FALSE
CAT-CO-007,CO,Digital Support,"Live chat, email response, SMS support",,,,0,FALSE
CAT-CO-008,CO,Social Media Support,"Social customer service, monitoring, community mgmt",,,,0,FALSE
CAT-COP-001,COP,Content Creation,"Blog writing, SEO content, technical writing",,,,0,FALSE
CAT-COP-002,COP,Content Moderation,"UGC review, image/video moderation, trust & safety",,,,0,FALSE
CAT-COP-003,COP,Localization & Translation,"Human translation, MTPE, software localization",,,,0,FALSE
CAT-COP-004,COP,Content Lifecycle Management,"KB maintenance, content migration, refresh cycles",,,,0,FALSE
CAT-COP-005,COP,Content Quality Assurance,"Linguistic QA, copy editing, proofreading",,,,0,FALSE
CAT-EN-001,EN,Meter Operations,"AMI deployment, meter data collection/management",,,,0,FALSE
CAT-EN-002,EN,Grid Operations,"Control center ops, SCADA management, monitoring",,,,0,FALSE
CAT-EN-003,EN,Utility Customer Operations,"Bill calculation, payment processing, collections",,,,0,FALSE
CAT-EN-004,EN,Field Operations,"Emergency restoration, transmission/distribution maint",,,,0,FALSE
CAT-EN-005,EN,Asset Management,"Vegetation mgmt, pole inspection, transformer maint",,,,0,FALSE
CAT-EN-006,EN,Energy Trading Operations,"Energy scheduling, market settlements, transmission",,,,0,FALSE
CAT-EN-007,EN,Regulatory Compliance,"NERC O&P, NERC CIP, environmental compliance",,,,0,FALSE
CAT-EN-008,EN,Demand Response,"Demand response mgmt, load curtailment, direct control",,,,0,FALSE
CAT-FA-001,FA,Accounts Payable,"Invoice processing, payments, vendor master data",,,,0,FALSE
CAT-FA-002,FA,Accounts Receivable,"Customer invoicing, cash application, collections",,,,0,FALSE
