Treatment_ID,Finding_Type,Recommended_Product,Treatment_Level,Savings_Rate_Low_Pct,Savings_Rate_High_Pct,Implementation_Timeline,Prerequisites,Applicable_Towers,Priority_Level,Description,Condition_Metric,Condition_Operator,Condition_Value
TREAT-001,RATE_ABOVE_BENCHMARK,SOURCING_ACCELERATOR,TREATMENT,8.0,15.0,3-6 months,Current rate benchmarks available,ALL,HIGH,Negotiate rates down to market benchmarks through competitive sourcing process,rate_vs_benchmark_pct,>,P75
TREAT-002,RATE_ABOVE_BENCHMARK,SOURCING_ACCELERATOR,GRANULAR,10.0,20.0,4-8 months,Service-type-level rate data + AHT available,ALL,HIGH,Granular rate comparison at service-type level enabling precision negotiation,rate_vs_benchmark_pct,>,P75
TREAT-003,CONTRACT_EXPIRING,CONTRACTING_OFFICE,TREATMENT,3.0,5.0,1-3 months,Contract inventory completed,ALL,CRITICAL,Optimize contract terms before renewal — leverage expiry as negotiation event,contract_months_remaining,<,6
TREAT-004,NON_PO_SPEND,MIMO,TREATMENT,2.0,3.0,2-4 months,PO system access and compliance framework,ALL,HIGH,Implement PO compliance and invoice matching to eliminate rogue spend,non_po_spend_pct,>,30
TREAT-005,VENDOR_CONCENTRATION,SOURCING_ACCELERATOR,TREATMENT,8.0,15.0,6-12 months,Alternative vendor identification completed,ALL,HIGH,Introduce competitive alternatives to reduce single-vendor dependency,vendor_spend_pct,>,40
TREAT-006,ROGUE_SPEND,MIMO,TREATMENT,2.0,3.0,1-3 months,Spend classification completed,ALL,HIGH,Identify and redirect maverick spend through approved channels,unclassified_spend_pct,>,20
TREAT-007,SLA_UNDERPERFORMANCE,CONTRACTING_OFFICE,TREATMENT,3.0,5.0,2-4 months,SLA baseline and measurement in place,ALL,MEDIUM,Enforce SLA penalties and restructure performance incentives,sla_miss_rate_pct,>,10
TREAT-008,COMPLIANCE_GAP,ASSESSMENT,TREATMENT,1.0,2.0,1-2 months,Risk assessment completed,ALL,MEDIUM,Address compliance gaps through governance framework implementation,compliance_score,<,80
TREAT-009,VOLUME_OPPORTUNITY,SOURCING_ACCELERATOR,TREATMENT,5.0,10.0,3-6 months,Volume aggregation analysis completed,ALL,MEDIUM,Consolidate volumes across business units for better pricing leverage,annual_spend_amount,>,1000000
TREAT-010,CONSOLIDATION_OPPORTUNITY,SOURCING_ACCELERATOR,TREATMENT,8.0,15.0,6-12 months,Vendor landscape analysis completed,ALL,MEDIUM,Reduce vendor count through strategic consolidation to preferred providers,vendor_count,>,5
