Service_Type_ID,Category_Code,Parent_Category_Code,Service_Type_Name,Description,Delivery_Channel,Primary_Pricing_Model,Benchmark_Unit,Frontline_Agent_Type,Managed_Service_Load,Tier_Structure,Default_AHT_Minutes,SLA_Timeliness_Type,SLA_Timeliness_Default,SLA_Quality_Type,SLA_Quality_Default,Required_Modifiers,Optional_Modifiers,Typical_Vendors,Confidence,AHT_Data_Tier,AHT_Source,Complexity_Tier,Resource_Unit_Name,Typical_Volume_Low,Typical_Volume_High,Confidence_Score
ST-HR-007-01-01,CAT-HR-007-01,CAT-HR-007,Open Enrollment Processing,"End-to-end administration of annual benefits enrollment including communications, election capture, carrier feeds",Voice,PPU,Month,Benefits_Specialist,Standard,,8.0,Processing,"99% accuracy, 24hr carrier feeds",Accuracy,99% accuracy,,,"ADP,Benefitfocus,Businessolver,Mercer,Willis Towers Watson",HIGH,T4_WORKFLOW_ASSUMPTION,,Standard,,,,
ST-HR-007-01-02,CAT-HR-007-01,CAT-HR-007,Benefits Eligibility Management,"Verification and maintenance of employee eligibility for health, dental, vision, and voluntary benefits",Voice,PPU,Month,Benefits_Specialist,Standard,,8.0,Processing,24hr processing,Accuracy,100% accuracy,,,"ADP,Benefitfocus,Businessolver,Mercer,Willis Towers Watson",HIGH,T4_WORKFLOW_ASSUMPTION,,Standard,,,,
ST-HR-007-02-01,CAT-HR-007-02,CAT-HR-007,COBRA Administration,"Management of continuation coverage including notifications, elections, premium collection, and termination",Voice,PPU,Case,Benefits_Specialist,Standard,,8.0,Processing,24hr processing,Compliance,100% compliance,,,"ADP,Benefitfocus,Businessolver,Mercer,Willis Towers Watson",HIGH,T4_WORKFLOW_ASSUMPTION,,Standard,,,,
ST-HR-007-01-03,CAT-HR-007-01,CAT-HR-007,FSA/HSA Administration,"Administration of flexible spending and health savings accounts including enrollment, claims, and compliance",Voice,PPU,Month,Benefits_Specialist,Standard,,8.0,Processing,"24hr claims processing, IRS compliance",Compliance,95% accuracy,,,"ADP,Benefitfocus,Businessolver,Mercer,Willis Towers Watson",HIGH,T4_WORKFLOW_ASSUMPTION,,Standard,,,,
ST-HR-004-03-01,CAT-HR-004-03,CAT-HR-004,Life/Disability Claims Processing,Intake and processing of life and disability insurance claims with carrier coordination,Async,PPU,Case,Insurance_Admin,Standard,,10.0,Response,"48hr initial response, 5-day processing",Accuracy,95% accuracy,,,"ADP,Benefitfocus,Businessolver,Mercer,Willis Towers Watson",HIGH,T4_WORKFLOW_ASSUMPTION,,Standard,,,,
ST-HR-007-01-04,CAT-HR-007-01,CAT-HR-007,Benefits Call Center,"Dedicated support for employee benefits inquiries, plan guidance, and issue resolution",Voice,PPU,Transaction,Benefits_Specialist,Standard,,8.0,Response,"ASA <45 sec, 85% FCR",FCR,85% fcr,,,"ADP,Benefitfocus,Businessolver,Mercer,Willis Towers Watson",HIGH,T4_WORKFLOW_ASSUMPTION,,Standard,,,,
ST-HR-007-03-01,CAT-HR-007-03,CAT-HR-007,Carrier Data Integration,"Electronic data interchange with insurance carriers for enrollment, eligibility, and billing",Voice,PPU,Month,Benefits_Specialist,Standard,,8.0,Processing,24hr processing,Accuracy,99% accuracy,,,"ADP,Benefitfocus,Businessolver,Mercer,Willis Towers Watson",HIGH,T4_WORKFLOW_ASSUMPTION,,Standard,,,,
ST-HR-007-02-02,CAT-HR-007-02,CAT-HR-007,Dependent Verification,Audit and verification of dependent eligibility through documentation collection and validation,Voice,PPU,Case,Benefits_Specialist,Standard,,8.0,Processing,24hr processing,Accuracy,95% accuracy,,,"ADP,Benefitfocus,Businessolver,Mercer,Willis Towers Watson",HIGH,T4_WORKFLOW_ASSUMPTION,,Standard,,,,
ST-HR-004-03-02,CAT-HR-004-03,CAT-HR-004,Leave of Absence Administration,"End-to-end management of FMLA, disability, and other leave types",Async,PPU,Case,Insurance_Admin,Standard,,10.0,Processing,"100% compliance, 24hr case initiation",Compliance,100% compliance,,,"ADP,Benefitfocus,Businessolver,Mercer,Willis Towers Watson",HIGH,T4_WORKFLOW_ASSUMPTION,,Standard,,,,
ST-HR-007-02-03,CAT-HR-007-02,CAT-HR-007,Benefits Billing Reconciliation,Reconciliation of carrier invoices against enrollment records with variance resolution,Voice,PPU,Month,Benefits_Specialist,Standard,,8.0,Resolution,24hr processing,Accuracy,99% accuracy,,,"ADP,Benefitfocus,Businessolver,Mercer,Willis Towers Watson",HIGH,T4_WORKFLOW_ASSUMPTION,,Standard,,,,
