Service_Type_ID,Vendor_ID,Vendor_Name,Analyst_Ranking,Analyst_Source,Ranking_Tier,Vendor_Type,Founded_Year,Confidence,As_Of_Date,Source_Type,Notes
ST-AI-004-03-01,VND-1361,Robust Intelligence,Cool Vendor,Gartner,,Established,2019,HIGH,2025-01,Analyst,End-to-end AI risk management; acquired by Cisco Oct 2024; AI Firewall and continuous validation
ST-AI-004-03-01,VND-1001,Lasso Security,Cool Vendor,Gartner,,Emerging,2020,HIGH,2025-01,Analyst,GenAI runtime security and red teaming; protects against prompt injection and LLM vulnerabilities
ST-AI-004-03-01,VND-0851,HiddenLayer,,,,Emerging,2022,LOW,2025-01,Manual,Automated red teaming launched Nov 2024; real-time ML model protection; backed by M12/IBM Ventures
ST-AI-004-03-01,VND-1107,Mindgard,,,,Emerging,2022,LOW,2025-01,Manual,Lancaster University spin-off (AI Security Lab est. 2016); automated red teaming with PhD-led research
ST-AI-004-03-01,VND-1268,Prompt Security,,,,Emerging,2023,LOW,2025-01,Manual,GenAI vulnerability assessment; acquired by SentinelOne for \~$250M
ST-AI-004-03-01,VND-0443,CalypsoAI,,,,Established,2018,LOW,2025-01,Manual,Acquired by F5 for $180M Sept 2025; inference-layer defense and red teaming at scale
ST-AI-004-03-01,VND-0992,Lakera,,,,Emerging,2021,LOW,2025-01,Manual,Acquired by Check Point for \~$300M; real-time GenAI protection; Gandalf platform with 1M+ users
ST-AI-004-03-01,VND-1278,Protect AI,,,,Emerging,2022,LOW,2025-01,Manual,AI-SPM platform; acquired by Palo Alto Networks 2025 for $500M+; comprehensive ML security
ST-AI-004-03-01,VND-0063,CrowdStrike,Leader,Everest,1,Established,2011,HIGH,2025-01,Analyst,Charlotte AI red team/blue team exercises with AI attack vectors; endpoint security leader
ST-AI-004-03-01,VND-0606,Deloitte AI Institute,,,,Established,2017,LOW,2025-01,Manual,Red Team Operations with scenario-based controlled incidents; stress testing AI systems
ST-AI-004-03-01,VND-1286,PwC Responsible AI,Leader,Forrester,1,Established,2017,HIGH,2025-01,Analyst,"Red teaming, bias testing, stress testing services; recognized Forrester AI/Analytics Consulting Leader"
ST-AI-004-03-01,VND-0251,Accenture Security,Leader,Everest,1,Established,2015,HIGH,2025-01,Analyst,"Gen AI Security Engineering Hub; adversarial simulations and LLM red-teaming; 25,000+ professionals"
ST-AI-004-03-01,VND-0835,HackerOne,,,,Established,2012,LOW,2025-01,Manual,AI Red Teaming with security researcher network; OWASP Top 10 for LLMs coverage
ST-AI-004-03-01,VND-1407,Schellman,,,,Established,2004,LOW,2025-01,Manual,GenAI penetration testing; framework-aligned LLM and RAG pipeline testing
ST-AI-004-03-01,VND-0423,Bugcrowd,,,,Established,2012,LOW,2025-01,Manual,AI Pen Test service; CREST-accredited; OWASP Top 10 for LLMs methodology
ST-AI-004-03-01,VND-1131,NCC Group,Strong Performer,Forrester,2,Established,1999,MEDIUM,2025-01,Analyst,AI/ML security assessments combining threat modeling with penetration testing
ST-AI-004-03-02,VND-1361,Robust Intelligence,Cool Vendor,Gartner,,Established,2019,HIGH,2025-01,Analyst,Algorithmic red teaming and AI Firewall; maps to OWASP and MITRE ATLAS
ST-AI-004-03-02,VND-1001,Lasso Security,Cool Vendor,Gartner,,Emerging,2020,HIGH,2025-01,Analyst,LLM Guardian with comprehensive LLM security evaluations and threat modeling
ST-AI-004-03-02,VND-0851,HiddenLayer,,,,Emerging,2022,LOW,2025-01,Manual,Model scanning and MLDR for real-time LLM protection; MITRE ATLAS framework
ST-AI-004-03-02,VND-1107,Mindgard,,,,Emerging,2022,LOW,2025-01,Manual,DAST-AI solution for LLM runtime vulnerabilities; UK Cyber Innovation Prize winner 2024
ST-AI-004-03-02,VND-0443,CalypsoAI,,,,Established,2018,LOW,2025-01,Manual,RSAC 2025 Innovation Sandbox top-two finalist; model-agnostic security
ST-AI-004-03-02,VND-0992,Lakera,,,,Emerging,2021,LOW,2025-01,Manual,Lakera Guard for LLM security; \<50ms response time; AI Model Risk Index
ST-AI-004-03-02,VND-1278,Protect AI,,,,Emerging,2022,LOW,2025-01,Manual,Guardian model scanning; Layer for LLM runtime security; Radar for AI risk assessment
ST-AI-004-03-02,VND-0973,Kroll,,,,Established,1972,LOW,2025-01,Manual,AI security testing finding 92% of assessments have prompt injection vulnerabilities
ST-AI-004-03-02,VND-1131,NCC Group,Strong Performer,Forrester,2,Established,1999,MEDIUM,2025-01,Analyst,AI/ML Secure Development Lifecycle Testing; technical assurance services
ST-AI-004-03-02,VND-0869,IARM,,,,Established,2000,LOW,2025-01,Manual,CREST-accredited LLM penetration testing; standards-based methodology
ST-AI-004-03-03,VND-1268,Prompt Security,,,,Emerging,2023,LOW,2025-01,Manual,Specialized prompt injection prevention; real-time filtering and abuse detection
ST-AI-004-03-03,VND-1269,PromptArmor,,,,Emerging,2023,LOW,2025-01,Manual,Deep technical expertise in indirect prompt injection threats
ST-AI-004-03-03,VND-0979,LMG Security,,,,Established,2005,LOW,2025-01,Manual,Prompt injection testing as part of comprehensive web application pentests
ST-AI-004-03-03,VND-1107,Mindgard,,,,Emerging,2022,LOW,2025-01,Manual,"Specialized testing for prompt injection across LLM, image, audio, and multimodal systems"
ST-AI-004-03-03,VND-0851,HiddenLayer,,,,Emerging,2022,LOW,2025-01,Manual,Real-time detection of prompt injection and jailbreak attempts in production
ST-AI-004-04-01,VND-0870,IBM AI Fairness 360,,,,Established,1911,LOW,2025-01,Manual,Open-source toolkit with comprehensive bias mitigation algorithms
ST-AI-004-04-01,VND-1096,Microsoft Fairlearn,,,,Established,1975,LOW,2025-01,Manual,Open-source toolkit supporting demographic parity and equalized odds
ST-AI-004-04-01,VND-0740,Fisher Phillips \+ BLDS \+ SolasAI,,,,Established,1943,LOW,2025-01,Manual,NYC Local Law 144 compliance; legal \+ analytical rigor for bias audits
ST-AI-004-04-01,VND-1266,Prolific,,,,Emerging,2014,LOW,2025-01,Manual,200K+ global community for demographic-specific bias testing at scale
ST-AI-004-04-01,VND-1609,Unbiased Services,,,,Emerging,2020,LOW,2025-01,Manual,Comprehensive AI/ML algorithm bias assessments and fairness analysis
ST-AI-004-04-01,VND-1660,Vervali,,,,Established,2016,LOW,2025-01,Manual,AI Bias & Explainability Testing with US-based teams; GDPR/SOC 2 aligned
ST-AI-004-02-01,VND-1405,Scale AI,,,,Established,2016,LOW,2025-01,Manual,SEAL leaderboards; expert-driven LLM benchmarks; human-in-the-loop evaluation
ST-AI-004-02-01,VND-1750,iMerit,,,,Established,2012,LOW,2025-01,Manual,Ango Hub for expert-guided evaluation; domain specialists across healthcare/automotive/NLP
ST-AI-004-02-01,VND-1693,Weights & Biases,,,,Established,2017,LOW,2025-01,Manual,W\&B Core for experiment tracking; real-time metrics and automated workflows
ST-AI-004-02-01,VND-0988,Labelbox,,,,Established,2018,LOW,2025-01,Manual,Visual diff tools; scoring UIs; model-assisted QA and evaluation workflows
ST-AI-004-02-01,VND-0680,Encord,,,,Emerging,2020,LOW,2025-01,Manual,Encord Active for data-centric evaluation; automated error discovery for computer vision
ST-AI-004-02-01,VND-1457,Snorkel AI,,,,Established,2019,LOW,2025-01,Manual,Snorkel Flow for error slicing; failure analysis; programmatic labeling-based evaluation
ST-AI-004-02-01,VND-1591,Turing,,,,Established,2018,LOW,2025-01,Manual,"LLM evaluation services; benchmarking frameworks for accuracy, scalability, robustness"
ST-AI-004-02-01,VND-1694,Welo Data,,,,Emerging,2020,LOW,2025-01,Manual,"Custom benchmarking solutions; model accuracy, efficiency, and scalability testing"
ST-AI-004-04-02,VND-1086,Microsoft,,,,Established,1975,LOW,2025-01,Manual,Cloud-based moderation with custom term lists; text/image/video moderation APIs
ST-AI-004-04-02,VND-0244,AWS,,,,Established,1994,LOW,2025-01,Manual,Computer vision-based content moderation; image and video analysis at scale
ST-AI-004-04-02,VND-0855,Hive AI,,,,Established,2018,LOW,2025-01,Manual,"Industry-leading content moderation models; NSFW, hate speech, violence, CSAM detection"
ST-AI-004-04-02,VND-0495,Clarifai,,,,Established,2013,LOW,2025-01,Manual,Custom moderation workflows; drag-and-drop AI pipelines; 95% greater accuracy than manual
ST-AI-004-04-02,VND-1689,WebPurify,,,,Established,2007,LOW,2025-01,Manual,Human \+ AI hybrid moderation; trusted by leading brands; customizable to specific needs
ST-AI-004-04-02,VND-0483,Checkstep,,,,Emerging,2020,LOW,2025-01,Manual,AI content moderation platform; DSA compliance; policy engine for 100+ abuse types
ST-AI-004-04-02,VND-1594,Two Hat,,,,Established,2012,LOW,2025-01,Manual,Acquired by Microsoft; real-time chat filtering with context-aware text moderation
ST-AI-004-04-02,VND-1471,Spectrum Labs,,,,Emerging,2018,LOW,2025-01,Manual,Contextual AI moderation; real-time analysis; 100+ language support
ST-AI-004-04-02,VND-0259,ActiveFence,,,,Emerging,2018,LOW,2025-01,Manual,Intelligence-driven threat monitoring; extremism/CSAM detection; 100+ languages
ST-AI-004-04-02,VND-0757,Foiwe,,,,Established,2009,LOW,2025-01,Manual,15+ years experience; AI \+ human moderation; text/image/audio/video coverage
ST-AI-004-04-03,VND-1218,Patronus AI,,,,Emerging,2023,LOW,2025-01,Manual,Lynx SOTA model outperforming GPT-4o on hallucination detection; 15K HaluBench dataset
ST-AI-004-04-03,VND-1058,Maxim AI,,,,Emerging,2022,LOW,2025-01,Manual,Multi-stage detection (prompt/output/user); evaluation workflows; enterprise governance
ST-AI-004-04-03,VND-0331,Arize AI,,,,Established,2020,LOW,2025-01,Manual,Phoenix HallucinationEvaluator; drift-based anomaly detection; 90% accuracy
ST-AI-004-04-03,VND-0998,LangSmith,,,,Established,2023,LOW,2025-01,Manual,Test-based output evaluation; debugging-focused for LangChain applications
ST-AI-004-04-03,VND-1693,Weights & Biases,,,,Established,2017,LOW,2025-01,Manual,Weave HallucinationFree Scorer; 91% accuracy with chain-of-thought reasoning
ST-AI-004-04-03,VND-1639,Vectara,,,,Emerging,2020,LOW,2025-01,Manual,HHEM-2.3 commercial hallucination evaluation model; open-source variant available
ST-AI-004-01-01,VND-1405,Scale AI,,,,Established,2016,LOW,2025-01,Manual,RLHF platform training Claude; human evaluation for Anthropic; multi-domain expertise
ST-AI-004-01-01,VND-0317,Appen,,,,Established,1996,LOW,2025-01,Manual,1M+ global contributors; RLHF services; 25+ years data annotation experience
ST-AI-004-01-01,VND-1510,Surge AI,,,,Emerging,2020,LOW,2025-01,Manual,RLHF platform for Anthropic Claude; InstructGPT-style models; SOC 2 complianceyoutube
ST-AI-004-01-01,VND-1750,iMerit,,,,Established,2012,LOW,2025-01,Manual,Ango Hub RLHF; expert-guided evaluation; SOC 2/ISO 27001/HIPAA/TISAX compliant
ST-AI-004-01-01,VND-0988,Labelbox,,,,Established,2018,LOW,2025-01,Manual,RLHF platform; expert human evaluations; differentiated training data for model alignment
ST-AI-004-01-01,VND-1266,Prolific,,,,Emerging,2014,LOW,2025-01,Manual,200K+ global community; advanced prescreeners; custom targeting for demographic testing
ST-AI-004-01-01,VND-0850,HiTech Digital,,,,Established,2010,LOW,2025-01,Manual,Task-specific RLHF datasets; expert annotation; real-time feedback integration
ST-AI-004-01-01,VND-0370,Aya Data,,,,Emerging,2020,LOW,2025-01,Manual,End-to-end RLHF solutions; 98% accuracy in medical diagnostics; GDPR/ISO compliant
ST-AI-004-05-01,VND-1183,Optimizely,,,,Established,2010,LOW,2025-01,Manual,Full-stack experimentation platform; MAB \+ stats accelerator; collaboration tools
ST-AI-004-05-01,VND-1632,VWO,,,,Established,2009,LOW,2025-01,Manual,Market leader with behavioral analytics; full-featured experimentation suite
ST-AI-004-05-01,VND-1486,Statsig,,,,Emerging,2021,LOW,2025-01,Manual,"Free tier (2M events/month); trusted by OpenAI, Notion, Atlassian, Microsoft"
ST-AI-004-05-01,VND-0952,Kameleoon,,,,Established,2012,LOW,2025-01,Manual,Enterprise AI-powered personalization; $35K+/year; 500+ corporate clients
ST-AI-004-05-01,VND-0228,AB Tasty,,,,Established,2013,LOW,2025-01,Manual,AI-powered personalization; EmotionsAI for visitor behavior; feature flags
ST-AI-004-05-01,VND-1248,PostHog,,,,Emerging,2020,LOW,2025-01,Manual,Open-source; comprehensive A/B testing with product analytics and feature flags
ST-AI-001-01-01,VND-1527,TELUS International,Leader,Everest Group,1,Established,2005,HIGH,2025-01,Analyst,Global leader in human-in-the-loop (HITL) workflows for large-scale object detection.
ST-AI-001-01-01,VND-0317,Appen,Leader,Everest Group,1,Established,1996,HIGH,2025-01,Analyst,Massive crowd-sourced workforce ideal for high-volume bounding box throughput.
ST-AI-001-01-01,VND-1405,Scale AI,Leader,IDC,1,Established,2016,HIGH,2025-01,Analyst,Technology-first platform widely considered the standard for autonomous vehicle bounding box data.
ST-AI-001-01-01,VND-1705,Wisepl,,,,Emerging,2020,LOW,2025-01,Manual,Specialized in computer vision annotation with a managed workforce model.
ST-AI-001-01-01,VND-0989,Labellerr,,,,Emerging,2019,LOW,2025-01,Manual,"SaaS platform with ""Smart Feedback Loop"" for iterative bounding box accuracy improvement."
ST-AI-001-01-02,VND-1398,Sama,Major Contender,Everest Group,2,Established,2008,HIGH,2025-01,Analyst,Ethical AI leader specializing in pixel-perfect segmentation for autonomous driving.
ST-AI-001-01-02,VND-0988,Labelbox,Leader,IDC,1,Established,2018,HIGH,2025-01,Analyst,Advanced vector-labeling tools optimized for complex segmentation masks.
ST-AI-001-01-02,VND-1750,iMerit,Major Contender,Everest Group,2,Established,2012,HIGH,2025-01,Analyst,Deep expertise in pixel-level labeling for medical imaging and geospatial data.
ST-AI-001-01-02,VND-1418,Segments.ai,,,,Emerging,2020,LOW,2025-01,Manual,"Specialist founded by CV PhDs, focusing exclusively on multi-sensor segmentation (LiDAR/Image)."
ST-AI-001-01-02,VND-0680,Encord,,,,Emerging,2021,LOW,2025-01,Manual,"Y-Combinator backed platform prioritizing ""micro-model"" automation for faster segmentation."
ST-AI-001-01-03,VND-0504,CloudFactory,Major Contender,Everest Group,2,Established,2010,HIGH,2025-01,Analyst,Managed workforce model delivering cost-effective categorization at massive scale.
ST-AI-001-01-03,VND-0043,TaskUs,Leader,Everest Group,1,Established,2008,HIGH,2025-01,Analyst,High-quality moderation and classification services for social platforms and retail.
ST-AI-001-01-03,VND-1504,SunTec.AI,,,,Emerging,2020,LOW,2025-01,Manual,Dedicated AI division offering scalable human-verified image categorization.
ST-AI-001-01-03,VND-1615,Unitlab AI,,,,Emerging,2023,LOW,2025-01,Manual,No-code platform with auto-labeling features for rapid image classification.
ST-AI-001-01-04,VND-1405,Scale AI,Leader,IDC,1,Established,2016,HIGH,2025-01,Analyst,Industry-leading quality for fine-grained polygon annotation in robotics.
ST-AI-001-01-04,VND-1527,TELUS International,Leader,Everest Group,1,Established,2005,HIGH,2025-01,Analyst,Enterprise-grade tooling for complex shape annotation with ISO-certified security.
ST-AI-001-01-04,VND-0987,Label Your Data,,,,Emerging,2019,LOW,2025-01,Manual,Security-focused specialist offering precise polygon annotation for EU/US clients.
ST-AI-001-01-05,VND-0317,Appen,Leader,Everest Group,1,Established,1996,HIGH,2025-01,Analyst,Extensive experience in facial landmark and human pose estimation datasets.
ST-AI-001-01-05,VND-1398,Sama,Major Contender,Everest Group,2,Established,2008,HIGH,2025-01,Analyst,High-precision keypoint labeling used heavily in AR/VR and driver monitoring.
ST-AI-001-01-05,VND-0680,Encord,,,,Emerging,2021,LOW,2025-01,Manual,Active learning platform that accelerates keypoint annotation for medical/sports AI.
ST-AI-001-02-01,VND-1405,Scale AI,Leader,IDC,1,Established,2016,HIGH,2025-01,Analyst,Dominant player in temporal tracking for autonomous vehicle frame sequences.
ST-AI-001-02-01,VND-0988,Labelbox,Leader,IDC,1,Established,2018,HIGH,2025-01,Analyst,Vector-based video editor allowing continuous object tracking across frames.
ST-AI-001-02-01,VND-0864,HumanSignal,,,,Emerging,2019,LOW,2025-01,Manual,"Creators of Label Studio, offering open-centric flexible video tracking workflows."
ST-AI-001-02-01,VND-1504,SunTec.AI,,,,Emerging,2020,LOW,2025-01,Manual,Provides frame-by-frame tracking services with a focus on security/surveillance.
ST-AI-001-02-02,VND-1527,TELUS International,Leader,Everest Group,1,Established,2005,HIGH,2025-01,Analyst,"Large workforce capable of subjective event tagging (e.g., ""shoplifting"", ""scoring"")."
ST-AI-001-02-02,VND-0981,LXT,Major Contender,Everest Group,2,Established,2010,HIGH,2025-01,Analyst,Strong capability in temporal event localization for media and security clients.
ST-AI-001-02-02,VND-1705,Wisepl,,,,Emerging,2020,LOW,2025-01,Manual,Cost-effective specialist for temporal action detection in sports and retail video.
ST-AI-001-03-01,VND-0317,Appen,Leader,Everest Group,1,Established,1996,HIGH,2025-01,Analyst,The largest global provider of linguistic resources for Named Entity Recognition.
ST-AI-001-03-01,VND-0473,Centific,Leader,Everest Group,1,Established,1995,HIGH,2025-01,Analyst,"Formerly Pactera Edge, specializes in localization and complex entity extraction."
ST-AI-001-03-01,VND-1430,Shaip,,,,Emerging,2021,LOW,2025-01,Manual,Specialized platform for medical/clinical NER and conversational AI data.
ST-AI-001-03-02,VND-0043,TaskUs,Leader,Everest Group,1,Established,2008,HIGH,2025-01,Analyst,Expert in nuance-heavy sentiment analysis and content moderation/safety.
