Mapping_ID,Service_Type_ID,Vendor_ID,Vendor_Name,Analyst_Ranking,Analyst_Source,Ranking_Tier,Vendor_Type,Founded_Year,Confidence,As_Of_Date,Source_Type,Notes,Maxx_Rec_Tier,Price_Position,Typical_Delivery_Location
SVM-00062,ST-AI-004-01-01,VND-1405,Scale AI,,,,Established,2016,LOW,2025-01,Manual,RLHF platform training Claude; human evaluation for Anthropic; multi-domain expertise,,,
SVM-00063,ST-AI-004-01-01,VND-0317,Appen,,,,Established,1996,LOW,2025-01,Manual,1M+ global contributors; RLHF services; 25+ years data annotation experience,,,
SVM-00064,ST-AI-004-01-01,VND-1510,Surge AI,,,,Emerging,2020,LOW,2025-01,Manual,RLHF platform for Anthropic Claude; InstructGPT-style models; SOC 2 complianceyoutube,,,
SVM-00065,ST-AI-004-01-01,VND-1750,iMerit,,,,Established,2012,LOW,2025-01,Manual,Ango Hub RLHF; expert-guided evaluation; SOC 2/ISO 27001/HIPAA/TISAX compliant,,,
SVM-00066,ST-AI-004-01-01,VND-0988,Labelbox,,,,Established,2018,LOW,2025-01,Manual,RLHF platform; expert human evaluations; differentiated training data for model alignment,,,
SVM-00067,ST-AI-004-01-01,VND-1266,Prolific,,,,Emerging,2014,LOW,2025-01,Manual,200K+ global community; advanced prescreeners; custom targeting for demographic testing,,,
SVM-00068,ST-AI-004-01-01,VND-0850,HiTech Digital,,,,Established,2010,LOW,2025-01,Manual,Task-specific RLHF datasets; expert annotation; real-time feedback integration,,,
SVM-00069,ST-AI-004-01-01,VND-0370,Aya Data,,,,Emerging,2020,LOW,2025-01,Manual,End-to-end RLHF solutions; 98% accuracy in medical diagnostics; GDPR/ISO compliant,,,
SVM-00076,ST-AI-001-01-01,VND-1527,TELUS International,Leader,Everest Group,1,Established,2005,HIGH,2025-01,Analyst,Global leader in human-in-the-loop (HITL) workflows for large-scale object detection.,,,
SVM-00077,ST-AI-001-01-01,VND-0317,Appen,Leader,Everest Group,1,Established,1996,HIGH,2025-01,Analyst,Massive crowd-sourced workforce ideal for high-volume bounding box throughput.,,,
SVM-00078,ST-AI-001-01-01,VND-1405,Scale AI,Leader,IDC,1,Established,2016,HIGH,2025-01,Analyst,Technology-first platform widely considered the standard for autonomous vehicle bounding box data.,,,
SVM-00079,ST-AI-001-01-01,VND-1705,Wisepl,,,,Emerging,2020,LOW,2025-01,Manual,Specialized in computer vision annotation with a managed workforce model.,,,
SVM-00080,ST-AI-001-01-01,VND-0989,Labellerr,,,,Emerging,2019,LOW,2025-01,Manual,"SaaS platform with ""Smart Feedback Loop"" for iterative bounding box accuracy improvement.",,,
SVM-00081,ST-AI-001-01-02,VND-1398,Sama,Major Contender,Everest Group,2,Established,2008,HIGH,2025-01,Analyst,Ethical AI leader specializing in pixel-perfect segmentation for autonomous driving.,,,
SVM-00082,ST-AI-001-01-02,VND-0988,Labelbox,Leader,IDC,1,Established,2018,HIGH,2025-01,Analyst,Advanced vector-labeling tools optimized for complex segmentation masks.,,,
SVM-00083,ST-AI-001-01-02,VND-1750,iMerit,Major Contender,Everest Group,2,Established,2012,HIGH,2025-01,Analyst,Deep expertise in pixel-level labeling for medical imaging and geospatial data.,,,
SVM-00084,ST-AI-001-01-02,VND-1418,Segments.ai,,,,Emerging,2020,LOW,2025-01,Manual,"Specialist founded by CV PhDs, focusing exclusively on multi-sensor segmentation (LiDAR/Image).",,,
SVM-00085,ST-AI-001-01-02,VND-0680,Encord,,,,Emerging,2021,LOW,2025-01,Manual,"Y-Combinator backed platform prioritizing ""micro-model"" automation for faster segmentation.",,,
SVM-00133,ST-AI-003-01-01,VND-0001,Accenture,Leader,Everest Group,1,Established,1989,HIGH,2025-01,Analyst,"Agent-led data modernization, ML pipeline engineering with 7,800+ data engineers",,,
SVM-00134,ST-AI-003-01-01,VND-0009,Cognizant,Leader,Everest Group,1,Established,1994,HIGH,2025-01,Analyst,"BigDecisions platform, cloud-native pipelines, TriZetto healthcare expertise",,,
SVM-00135,ST-AI-003-01-01,VND-0059,Deloitte,Leader,Everest Group,1,Established,,HIGH,2025-01,Analyst,"AI Assist platform for SDLC automation, consulting-led transformation",,,
SVM-00136,ST-AI-003-01-01,VND-0003,TCS,Leader,Everest Group,1,Established,1968,HIGH,2025-01,Analyst,"AI.Cloud business unit, governance frameworks, cloud-native MLOps",,,
SVM-00137,ST-AI-003-01-01,VND-0004,Capgemini,Leader,Everest Group,1,Established,1967,HIGH,2025-01,Analyst,"AI & Data Engineering with 7,800+ engineers, 500+ projects completed",,,
SVM-00138,ST-AI-003-01-01,VND-0047,HCLTech,Leader,Everest Group,1,Established,1976,HIGH,2025-01,Analyst,Data engineering services with healthcare analytics specialization,,,
SVM-00139,ST-AI-003-01-01,VND-0008,Wipro,Leader,Everest Group,1,Established,1945,HIGH,2025-01,Analyst,"Wipro Intelligence platform, HOLMES GenAI integration",,,
SVM-00140,ST-AI-003-01-01,VND-0010,Infosys,,,,Established,1981,LOW,2025-01,Manual,"Infosys Topaz/Cobalt platforms, multi-agentic solutions, small language models",,,
SVM-00141,ST-AI-003-01-01,VND-1446,Sigmoid,,,,Established,2013,LOW,2025-01,Manual,"5,000+ pipelines built, D.A.T.A framework, data quality accelerators",,,
SVM-00142,ST-AI-003-01-01,VND-1585,Tredence,,,,Established,2013,LOW,2025-01,Manual,"DataOps/MLOps expertise, retail/banking/telecom focus",,,
SVM-00143,ST-AI-003-01-01,VND-1267,Prolifics,,,,Established,1978,LOW,2025-01,Manual,"40% faster data availability, cloud-native solutions",,,
SVM-00144,ST-AI-003-01-01,VND-0404,BluEnt,,,,Established,2012,LOW,2025-01,Manual,"Real-time ETL, self-healing pipelines, AI-driven transformations",,,
SVM-00145,ST-AI-003-01-02,VND-0001,Accenture,Leader,Everest Group,1,Established,1989,HIGH,2025-01,Analyst,"MLOps managed services, agent-based automation, 24/7 monitoring",,,
SVM-00146,ST-AI-003-01-02,VND-0009,Cognizant,Leader,Everest Group,1,Established,1994,HIGH,2025-01,Analyst,"MLOps consulting, cloud optimization, automated DevOps",,,
SVM-00147,ST-AI-003-01-02,VND-0059,Deloitte,Leader,Everest Group,1,Established,,HIGH,2025-01,Analyst,"AI/Data Operations Management, Modern Operate platform",,,
SVM-00148,ST-AI-003-01-02,VND-0003,TCS,Leader,Everest Group,1,Established,1968,HIGH,2025-01,Analyst,"Enterprise MLOps consulting, Jile platform, DevSecOps",,,
SVM-00149,ST-AI-003-01-02,VND-0004,Capgemini,Leader,Everest Group,1,Established,1967,HIGH,2025-01,Analyst,"Data Estate Modernization, CI/CD pipelines, monitoring frameworks",,,
