Rate_ID,Tower_Code,Agent_Type,Tier,Location_Code,Rate_Low_USD,Rate_High_USD,Rate_Median_USD,Currency_Local,Rate_Low_Local,Rate_High_Local,Rate_Unit,Pricing_Model,Effective_Date,Source,Confidence,Last_Updated
RATE-CO-CSA-T1-IN-BLR,CO,Customer_Service_Agent,T1,IN-BLR,6.0,10.0,8.0,INR,6.0,10.0,Per_Hour,T&M,2025-01-01,FD6 Validated Research,HIGH,2025-01-03
RATE-CO-CSA-T1-IN-HYD,CO,Customer_Service_Agent,T1,IN-HYD,6.0,10.0,8.0,INR,6.0,10.0,Per_Hour,T&M,2025-01-01,FD6 Validated Research,HIGH,2025-01-03
RATE-CO-CSA-T1-IN-CHE,CO,Customer_Service_Agent,T1,IN-CHE,6.0,10.0,8.0,INR,6.0,10.0,Per_Hour,T&M,2025-01-01,FD6 Validated Research,HIGH,2025-01-03
RATE-CO-CSA-T1-IN-DEL,CO,Customer_Service_Agent,T1,IN-DEL,6.0,10.0,8.0,INR,6.0,10.0,Per_Hour,T&M,2025-01-01,FD6 Validated Research,HIGH,2025-01-03
RATE-CO-CSA-T1-PH-MNL,CO,Customer_Service_Agent,T1,PH-MNL,8.0,12.0,10.0,PHP,8.0,12.0,Per_Hour,T&M,2025-01-01,FD6 Validated Research,HIGH,2025-01-03
RATE-CO-CSA-T1-PH-CEB,CO,Customer_Service_Agent,T1,PH-CEB,8.0,12.0,10.0,PHP,8.0,12.0,Per_Hour,T&M,2025-01-01,FD6 Validated Research,HIGH,2025-01-03
RATE-CO-CSA-T1-PH-CLK,CO,Customer_Service_Agent,T1,PH-CLK,8.0,12.0,10.0,PHP,8.0,12.0,Per_Hour,T&M,2025-01-01,FD6 Validated Research,HIGH,2025-01-03
RATE-CO-CSA-T1-CO-BOG,CO,Customer_Service_Agent,T1,CO-BOG,12.0,16.0,14.0,COP,12.0,16.0,Per_Hour,T&M,2025-01-01,FD6 Validated Research,HIGH,2025-01-03
RATE-CO-CSA-T1-MX-MEX,CO,Customer_Service_Agent,T1,MX-MEX,12.0,16.0,14.0,MXN,12.0,16.0,Per_Hour,T&M,2025-01-01,FD6 Validated Research,HIGH,2025-01-03
RATE-CO-CSA-T1-US-PHX,CO,Customer_Service_Agent,T1,US-PHX,25.0,35.0,30.0,USD,25.0,35.0,Per_Hour,T&M,2025-01-01,FD6 Validated Research,HIGH,2025-01-03
