Alias_ID,User_Term,Service_Type_ID,Service_Type_Name,Confidence,Source,Usage_Count,Created_Date,Is_Active,Tower_Code
ALI-00011,access control,ST-FR-004-01-02,Access Control,HIGH,SEED,0,2025-01-01,TRUE,
ALI-00016,account maintenance,ST-CO-005-01-03,Account Maintenance,HIGH,SEED,0,2025-01-01,TRUE,
ALI-00017,account reconciliation,ST-FA-003-01-02,Account Reconciliation,HIGH,SEED,0,2025-01-01,TRUE,
ALI-00019,accounts receivable,ST-FA-002-01-01,Customer Invoicing,HIGH,SEED,0,2025-01-01,TRUE,
ALI-00025,adjudication,ST-HR-001-01-01,Medical Claims Adjudication,LOW,SEED,0,2025-01-01,TRUE,
ALI-00053,ap,ST-FA-001-01-01,Invoice Processing,LOW,SEED,0,2025-01-01,TRUE,
ALI-00054,ap processing,ST-FA-001-01-01,Invoice Processing,MEDIUM,SEED,0,2025-01-01,TRUE,
ALI-00055,api development & integration,ST-IT-001-01-03,API Development & Integration,HIGH,SEED,0,2025-01-01,TRUE,
ALI-00065,ar,ST-FA-002-01-01,Customer Invoicing,LOW,SEED,0,2025-01-01,TRUE,
ALI-00120,bpo,ST-CO-001-01-01,Tier 1 Voice Support,LOW,SEED,0,2025-01-01,TRUE,
ALI-00128,budget development,ST-FA-008-01-01,Budget Development,HIGH,SEED,0,2025-01-01,TRUE,
ALI-00129,budgeting support,ST-FA-009-01-01,Budgeting Support Services,MEDIUM,SEED,0,2025-01-01,TRUE,
ALI-00130,budgeting support services,ST-FA-009-01-01,Budgeting Support Services,HIGH,SEED,0,2025-01-01,TRUE,
ALI-00137,business process outsourcing,ST-CO-001-01-01,Tier 1 Voice Support,LOW,SEED,0,2025-01-01,TRUE,
ALI-00142,cafe,ST-FR-005-01-01,Cafe Management,MEDIUM,SEED,0,2025-01-01,TRUE,
ALI-00143,cafe management,ST-FR-005-01-01,Cafe Management,HIGH,SEED,0,2025-01-01,TRUE,
ALI-00145,call center,ST-CO-001-01-01,Tier 1 Voice Support,MEDIUM,SEED,0,2025-01-01,TRUE,
ALI-00146,call center bpo,ST-CO-001-01-01,Tier 1 Voice Support,MEDIUM,SEED,0,2025-01-01,TRUE,
ALI-00163,carrier,ST-SC-005-01-04,Carrier Management,MEDIUM,SEED,0,2025-01-01,TRUE,
ALI-00165,carrier management,ST-SC-005-01-04,Carrier Management,HIGH,SEED,0,2025-01-01,TRUE,
ALI-00166,cash application,ST-FA-002-01-02,Cash Application,HIGH,SEED,0,2025-01-01,TRUE,
ALI-00169,cash forecasting,ST-FA-005-01-02,Cash Forecasting,HIGH,SEED,0,2025-01-01,TRUE,
ALI-00174,category,ST-SC-001-01-02,Category Management,MEDIUM,SEED,0,2025-01-01,TRUE,
ALI-00175,category management,ST-SC-001-01-02,Category Management,HIGH,SEED,0,2025-01-01,TRUE,
ALI-00191,chatbot,ST-CO-007-01-04,Chatbot Management,MEDIUM,SEED,0,2025-01-01,TRUE,
ALI-00192,chatbot management,ST-CO-007-01-04,Chatbot Management,HIGH,SEED,0,2025-01-01,TRUE,
ALI-00214,cloud backup & recovery,ST-IT-004-01-03,Cloud Backup & Recovery,HIGH,SEED,0,2025-01-01,TRUE,
ALI-00215,cloud cost optimization,ST-IT-004-01-02,Cloud Cost Optimization,HIGH,SEED,0,2025-01-01,TRUE,
ALI-00216,cloud infrastructure,ST-IT-004-01-01,Cloud Infrastructure Management,MEDIUM,SEED,0,2025-01-01,TRUE,
ALI-00217,cloud infrastructure management,ST-IT-004-01-01,Cloud Infrastructure Management,HIGH,SEED,0,2025-01-01,TRUE,
ALI-00230,code generation evaluation,ST-AI-002-01-04,Code Generation Evaluation,HIGH,SEED,0,2025-01-01,TRUE,
