Mapping_ID,Service_Type_ID,Vendor_ID,Vendor_Name,Analyst_Ranking,Analyst_Source,Ranking_Tier,Vendor_Type,Founded_Year,Confidence,As_Of_Date,Source_Type,Notes,Maxx_Rec_Tier,Price_Position,Typical_Delivery_Location
SVM-00001,ST-AI-004-03-01,VND-1361,Robust Intelligence,Cool Vendor,Gartner,,Established,2019,HIGH,2025-01,Analyst,End-to-end AI risk management; acquired by Cisco Oct 2024; AI Firewall and continuous validation,,,
SVM-00002,ST-AI-004-03-01,VND-1001,Lasso Security,Cool Vendor,Gartner,,Emerging,2020,HIGH,2025-01,Analyst,GenAI runtime security and red teaming; protects against prompt injection and LLM vulnerabilities,,,
SVM-00003,ST-AI-004-03-01,VND-0851,HiddenLayer,,,,Emerging,2022,LOW,2025-01,Manual,Automated red teaming launched Nov 2024; real-time ML model protection; backed by M12/IBM Ventures,,,
SVM-00004,ST-AI-004-03-01,VND-1107,Mindgard,,,,Emerging,2022,LOW,2025-01,Manual,Lancaster University spin-off (AI Security Lab est. 2016); automated red teaming with PhD-led research,,,
SVM-00005,ST-AI-004-03-01,VND-1268,Prompt Security,,,,Emerging,2023,LOW,2025-01,Manual,GenAI vulnerability assessment; acquired by SentinelOne for \~$250M,,,
SVM-00006,ST-AI-004-03-01,VND-0443,CalypsoAI,,,,Established,2018,LOW,2025-01,Manual,Acquired by F5 for $180M Sept 2025; inference-layer defense and red teaming at scale,,,
SVM-00007,ST-AI-004-03-01,VND-0992,Lakera,,,,Emerging,2021,LOW,2025-01,Manual,Acquired by Check Point for \~$300M; real-time GenAI protection; Gandalf platform with 1M+ users,,,
SVM-00008,ST-AI-004-03-01,VND-1278,Protect AI,,,,Emerging,2022,LOW,2025-01,Manual,AI-SPM platform; acquired by Palo Alto Networks 2025 for $500M+; comprehensive ML security,,,
SVM-00009,ST-AI-004-03-01,VND-0063,CrowdStrike,Leader,Everest,1,Established,2011,HIGH,2025-01,Analyst,Charlotte AI red team/blue team exercises with AI attack vectors; endpoint security leader,,,
SVM-00010,ST-AI-004-03-01,VND-0606,Deloitte AI Institute,,,,Established,2017,LOW,2025-01,Manual,Red Team Operations with scenario-based controlled incidents; stress testing AI systems,,,
