Rule_ID,Rule_Name,Rule_Category,Applicable_Towers,Condition_Type,Condition_Config,Severity_Weight,Recommended_Treatment,Description,Mitigation_Text,Is_Active,Created_Date,Last_Updated,Threshold_Metric,Threshold_Operator,Threshold_Value
RISK-001,Single Vendor Dominance (>40% category),SPEND_CONCENTRATION,ALL,RATIO,"{""field"":""vendor_spend_pct"",""operator"":"">"",""value"":0.40,""scope"":""category""}",5.0,SOURCING_ACCELERATOR,Single vendor controls more than 40% of spend within a category — critical concentration risk,,True,2026-02-09,2026-02-09,vendor_spend_pct,>,0.4
RISK-002,Single Vendor Dominance (>25% category),SPEND_CONCENTRATION,ALL,RATIO,"{""field"":""vendor_spend_pct"",""operator"":"">"",""value"":0.25,""scope"":""category""}",3.5,SOURCING_ACCELERATOR,Single vendor controls more than 25% of category spend — moderate concentration risk,,True,2026-02-09,2026-02-09,vendor_spend_pct,>,0.25
RISK-003,Dual Vendor Concentration (>60% category),SPEND_CONCENTRATION,ALL,RATIO,"{""field"":""top2_vendor_spend_pct"",""operator"":"">"",""value"":0.60,""scope"":""category""}",4.0,SOURCING_ACCELERATOR,Top 2 vendors control more than 60% of category spend,,True,2026-02-09,2026-02-09,top2_vendor_spend_pct,>,0.6
RISK-004,Single Vendor Dominance (>50% tower),SPEND_CONCENTRATION,ALL,RATIO,"{""field"":""vendor_spend_pct"",""operator"":"">"",""value"":0.50,""scope"":""tower""}",4.5,ASSESSMENT,Single vendor controls more than 50% of entire tower spend,,True,2026-02-09,2026-02-09,vendor_spend_pct,>,0.5
RISK-005,High Non-PO Spend Rate (>30%),COMPLIANCE_GAP,ALL,RATIO,"{""field"":""non_po_spend_pct"",""operator"":"">"",""value"":0.30,""scope"":""category""}",4.0,MIMO,More than 30% of category spend lacks purchase orders — compliance and control risk,,True,2026-02-09,2026-02-09,non_po_spend_pct,>,0.3
RISK-006,Very High Non-PO Spend (>50%),COMPLIANCE_GAP,ALL,RATIO,"{""field"":""non_po_spend_pct"",""operator"":"">"",""value"":0.50,""scope"":""category""}",5.0,MIMO,More than 50% of category spend lacks purchase orders — critical compliance gap,,True,2026-02-09,2026-02-09,non_po_spend_pct,>,0.5
RISK-007,Rate Above P75 Benchmark,RATE_ANOMALY,ALL,BENCHMARK_DEVIATION,"{""field"":""blended_rate"",""operator"":"">"",""value"":""P75"",""margin"":0.10}",3.5,SOURCING_ACCELERATOR,Vendor blended rate exceeds 75th percentile market benchmark by >10%,,True,2026-02-09,2026-02-09,blended_rate,>,P75
RISK-008,Rate Above P90 Benchmark,RATE_ANOMALY,ALL,BENCHMARK_DEVIATION,"{""field"":""blended_rate"",""operator"":"">"",""value"":""P90"",""margin"":0.0}",5.0,SOURCING_ACCELERATOR,Vendor blended rate exceeds 90th percentile — significantly overpaying,,True,2026-02-09,2026-02-09,blended_rate,>,P90
RISK-009,Rate Below P10 Benchmark,RATE_ANOMALY,ALL,BENCHMARK_DEVIATION,"{""field"":""blended_rate"",""operator"":""<"",""value"":""P10"",""margin"":0.0}",3.0,ASSESSMENT,Vendor rate below 10th percentile — potential quality or sustainability risk,,True,2026-02-09,2026-02-09,blended_rate,<,P10
RISK-010,No Contract on File,CONTRACT_WEAKNESS,ALL,MISSING_DATA,"{""field"":""contract_status"",""value"":""missing""}",4.0,CONTRACTING_OFFICE,No contract documentation found for active vendor relationship,,True,2026-02-09,2026-02-09,contract_status,,missing
RISK-011,Contract Expired or Expiring (<90 days),CONTRACT_WEAKNESS,ALL,PATTERN,"{""field"":""contract_expiry"",""operator"":""<"",""value"":90,""unit"":""days""}",3.5,CONTRACTING_OFFICE,Contract expired or expiring within 90 days — urgent renegotiation needed,,True,2026-02-09,2026-02-09,contract_expiry,<,90
