Service_Type_ID,SubCategory_Code,Service_Type_Name,Description,Delivery_Channel,Primary_Pricing_Model,Benchmark_Unit,Frontline_Agent_Type,Tier_Structure,Default_AHT_Minutes,SLA_Timeliness_Type,SLA_Timeliness_Default,SLA_Quality_Type,SLA_Quality_Default,Required_Modifiers,Optional_Modifiers,Typical_Vendors,Confidence
ST-HR-007-01-01,CAT-HR-007-01,Open Enrollment Processing,"End-to-end administration of annual benefits enrollment including communications, election capture, carrier feeds",Voice,PPU,Month,Benefits_Specialist,None,8,Processing,"99% accuracy, 24hr carrier feeds",Accuracy,99% accuracy,,,"ADP,Benefitfocus,Businessolver,Mercer,Willis Towers Watson",HIGH
ST-HR-007-01-02,CAT-HR-007-01,Benefits Eligibility Management,"Verification and maintenance of employee eligibility for health, dental, vision, and voluntary benefits",Voice,PPU,Month,Benefits_Specialist,None,8,Processing,24hr processing,Accuracy,100% accuracy,,,"ADP,Benefitfocus,Businessolver,Mercer,Willis Towers Watson",HIGH
ST-HR-007-02-01,CAT-HR-007-02,COBRA Administration,"Management of continuation coverage including notifications, elections, premium collection, and termination",Voice,PPU,Case,Benefits_Specialist,None,8,Processing,24hr processing,Compliance,100% compliance,,,"ADP,Benefitfocus,Businessolver,Mercer,Willis Towers Watson",HIGH
ST-HR-007-01-03,CAT-HR-007-01,FSA/HSA Administration,"Administration of flexible spending and health savings accounts including enrollment, claims, and compliance",Voice,PPU,Month,Benefits_Specialist,None,8,Processing,"24hr claims processing, IRS compliance",Compliance,95% accuracy,,,"ADP,Benefitfocus,Businessolver,Mercer,Willis Towers Watson",HIGH
ST-HR-004-03-01,CAT-HR-004-03,Life/Disability Claims Processing,Intake and processing of life and disability insurance claims with carrier coordination,Async,PPU,Case,Insurance_Admin,None,10,Response,"48hr initial response, 5-day processing",Accuracy,95% accuracy,,,"ADP,Benefitfocus,Businessolver,Mercer,Willis Towers Watson",HIGH
ST-HR-007-01-04,CAT-HR-007-01,Benefits Call Center,"Dedicated support for employee benefits inquiries, plan guidance, and issue resolution",Voice,PPU,Transaction,Benefits_Specialist,None,8,Response,"ASA <45 sec, 85% FCR",FCR,85% fcr,,,"ADP,Benefitfocus,Businessolver,Mercer,Willis Towers Watson",HIGH
ST-HR-007-03-01,CAT-HR-007-03,Carrier Data Integration,"Electronic data interchange with insurance carriers for enrollment, eligibility, and billing",Voice,PPU,Month,Benefits_Specialist,None,8,Processing,24hr processing,Accuracy,99% accuracy,,,"ADP,Benefitfocus,Businessolver,Mercer,Willis Towers Watson",HIGH
ST-HR-007-02-02,CAT-HR-007-02,Dependent Verification,Audit and verification of dependent eligibility through documentation collection and validation,Voice,PPU,Case,Benefits_Specialist,None,8,Processing,24hr processing,Accuracy,95% accuracy,,,"ADP,Benefitfocus,Businessolver,Mercer,Willis Towers Watson",HIGH
ST-HR-004-03-02,CAT-HR-004-03,Leave of Absence Administration,"End-to-end management of FMLA, disability, and other leave types",Async,PPU,Case,Insurance_Admin,None,10,Processing,"100% compliance, 24hr case initiation",Compliance,100% compliance,,,"ADP,Benefitfocus,Businessolver,Mercer,Willis Towers Watson",HIGH
ST-HR-007-02-03,CAT-HR-007-02,Benefits Billing Reconciliation,Reconciliation of carrier invoices against enrollment records with variance resolution,Voice,PPU,Month,Benefits_Specialist,None,8,Resolution,24hr processing,Accuracy,99% accuracy,,,"ADP,Benefitfocus,Businessolver,Mercer,Willis Towers Watson",HIGH
ST-HR-001-01-01,CAT-HR-001-01,Medical Claims Adjudication,"Processing of self-funded medical claims including adjudication, EOB generation, and provider payments",Async,PPU,Case,Claims_Processor,None,6,Processing,24hr processing,Accuracy,99% accuracy,,,"ADP,Benefitfocus,Businessolver,Mercer,Willis Towers Watson",HIGH
ST-HR-001-02-01,CAT-HR-001-02,TPA Plan Administration,"Full TPA services including plan administration, eligibility management, and compliance",Async,PPU,Month,Claims_Processor,None,6,Processing,24hr processing,Compliance,100% compliance,,,"ADP,Benefitfocus,Businessolver,Mercer,Willis Towers Watson",HIGH
ST-HR-001-03-01,CAT-HR-001-03,Formulary Management,"PBM services including formulary management, drug utilization review, and specialty pharmacy",Async,PPU,Month,Claims_Processor,None,6,Processing,24hr processing,Compliance,95% accuracy,,,"ADP,Benefitfocus,Businessolver,Mercer,Willis Towers Watson",HIGH
ST-HR-001-04-01,CAT-HR-001-04,Utilization Review,"Utilization review, case management, pre-authorization, and disease management",Async,PPU,Case,Claims_Processor,None,6,Turnaround,24hr pre-auth turnaround,Accuracy,95% accuracy,,,"ADP,Benefitfocus,Businessolver,Mercer,Willis Towers Watson",HIGH
ST-HR-009-02-01,CAT-HR-009-02,Payroll Processing,"Complete payroll calculation, processing, and distribution including gross-to-net",Live_Digital,PPU,Transaction,HRIS_Admin,L1-L2,10,Delivery,24hr processing,Accuracy,99% accuracy,,,"ADP,Benefitfocus,Businessolver,Mercer,Willis Towers Watson",HIGH
ST-HR-009-02-02,CAT-HR-009-02,Tax Filing & Remittance,"Federal, state, and local tax calculation, filing, and remittance",Live_Digital,PPU,Transaction,HRIS_Admin,L1-L2,10,Processing,24hr processing,Compliance,100% compliance,,,"ADP,Benefitfocus,Businessolver,Mercer,Willis Towers Watson",HIGH
ST-HR-009-02-03,CAT-HR-009-02,Garnishment Processing,Administration of court-ordered wage garnishments and child support withholdings,Live_Digital,PPU,Transaction,HRIS_Admin,L1-L2,10,Processing,24hr processing,Compliance,100% compliance,,,"ADP,Benefitfocus,Businessolver,Mercer,Willis Towers Watson",HIGH
ST-HR-009-02-04,CAT-HR-009-02,Time & Attendance Integration,Integration of time tracking data with payroll systems for accurate pay calculations,Live_Digital,PPU,Month,HRIS_Admin,L1-L2,10,Processing,24hr processing,Accuracy,95% accuracy,,,"ADP,Benefitfocus,Businessolver,Mercer,Willis Towers Watson",HIGH
ST-HR-009-02-05,CAT-HR-009-02,W-2/Year-End Processing,Preparation and distribution of W-2s and other year-end tax documents,Live_Digital,PPU,Transaction,HRIS_Admin,L1-L2,10,Processing,"100% on-time, <1% corrections",Accuracy,100% accuracy,,,"ADP,Benefitfocus,Businessolver,Mercer,Willis Towers Watson",HIGH
ST-HR-009-02-06,CAT-HR-009-02,Multi-State Payroll,Payroll processing for employees across multiple state jurisdictions,Live_Digital,PPU,Month,HRIS_Admin,L1-L2,10,Processing,24hr processing,Compliance,95% accuracy,,,"ADP,Benefitfocus,Businessolver,Mercer,Willis Towers Watson",HIGH
ST-HR-009-02-07,CAT-HR-009-02,Global Payroll Coordination,Coordination of payroll across multiple countries with local compliance,Live_Digital,PPU,Month,HRIS_Admin,L1-L2,10,Processing,24hr processing,Compliance,95% accuracy,,,"ADP,Benefitfocus,Businessolver,Mercer,Willis Towers Watson",HIGH
ST-HR-009-02-08,CAT-HR-009-02,Payroll Inquiry Resolution,Resolution of employee pay inquiries and discrepancies,Live_Digital,PPU,Transaction,HRIS_Admin,L1-L2,10,Response,"4hr response, 24hr resolution",Accuracy,95% accuracy,,,"ADP,Benefitfocus,Businessolver,Mercer,Willis Towers Watson",HIGH
ST-HR-006-02-01,CAT-HR-006-02,Full-Cycle Recruitment,"End-to-end recruitment including sourcing, screening, interviewing, and offer management",N/A,Outcome,Case,Recruiter,None,,Processing,24hr processing,Accuracy,95% accuracy,,,"ADP,Benefitfocus,Businessolver,Mercer,Willis Towers Watson",HIGH
