Alias_ID,User_Term,Service_Type_ID,Service_Type_Name,Confidence
ALI-00001,1099 preparation,ST-FA-001-01-07,1099 Reporting,LOW
ALI-00002,1099 reporting,ST-FA-001-01-07,1099 Reporting,HIGH
ALI-00003,24/7 dba on-call support,ST-IT-002-05-10,24/7 DBA On-Call Support,HIGH
ALI-00004,3d & lidar annotation,ST-AI-002-05-01,3D & LiDAR Annotation Services,MEDIUM
ALI-00005,3d & lidar annotation services,ST-AI-002-05-01,3D & LiDAR Annotation Services,HIGH
ALI-00006,3d modeling,ST-ME-008-01-01,3D Modeling,HIGH
ALI-00007,3d point cloud annotation,ST-AI-001-05-01,3D Point Cloud Annotation,HIGH
ALI-00008,a/b testing infrastructure,ST-AI-004-05-01,A/B Testing Infrastructure,HIGH
ALI-00009,absence,ST-HR-009-01-05,Absence Management,MEDIUM
ALI-00010,absence management,ST-HR-009-01-05,Absence Management,HIGH
ALI-00011,access control,ST-FR-004-01-02,Access Control,HIGH
ALI-00012,access control systems,ST-FR-006-02-01,Access Control Systems Services,MEDIUM
ALI-00013,access control systems services,ST-FR-006-02-01,Access Control Systems Services,HIGH
ALI-00014,accessibility compliance,ST-COP-005-04-01,Accessibility Compliance,HIGH
ALI-00015,account certification,ST-FA-004-02-04,Account Certification,HIGH
ALI-00016,account maintenance,ST-CO-005-01-03,Account Maintenance,HIGH
ALI-00017,account reconciliation,ST-FA-003-01-02,Account Reconciliation,HIGH
ALI-00018,accounts payable,ST-FA-001-02-01,Expense Reimbursement Processing,HIGH
ALI-00019,accounts receivable,ST-FA-002-01-01,Customer Invoicing,HIGH
ALI-00020,accruals,ST-FA-003-01-05,Accruals Management,MEDIUM
ALI-00021,accruals management,ST-FA-003-01-05,Accruals Management,HIGH
ALI-00022,accurate pay calculations,ST-HR-009-02-04,Time & Attendance Integration,LOW
ALI-00023,ad moderation,ST-COP-002-05-01,Ad Moderation,HIGH
ALI-00024,adaptive maintenance,ST-IT-001-02-03,Adaptive Maintenance,HIGH
ALI-00025,adjudication,ST-HR-001-01-01,Medical Claims Adjudication,LOW
ALI-00026,administrative staffing,ST-HR-003-04-03,Administrative Staffing,HIGH
ALI-00027,aerial inspection,ST-EN-005-01-05,Aerial Inspection,HIGH
ALI-00028,after-hours support,ST-CO-001-01-04,After-Hours Support,HIGH
ALI-00029,aggregate reports,ST-CL-007-01-04,Aggregate Reports,HIGH
ALI-00030,aggregate safety reporting (psur/pbrer),ST-CL-004-03-01,Aggregate Safety Reporting (PSUR/PBRER) Services,MEDIUM
ALI-00031,aggregate safety reporting (psur/pbrer) services,ST-CL-004-03-01,Aggregate Safety Reporting (PSUR/PBRER) Services,HIGH
ALI-00032,ai chatbot development,ST-AI-002-02-05,AI Chatbot Development,HIGH
ALI-00033,ai content generation,ST-AI-002-02-06,AI Content Generation,HIGH
ALI-00034,ai red teaming,ST-AI-004-03-01,AI Red Teaming,HIGH
ALI-00035,ai-assisted moderation,ST-COP-002-02-01,AI-Assisted Moderation,HIGH
ALI-00036,ai-assisted moderation,ST-ME-008-02-01,AI-Assisted Moderation Services,MEDIUM
ALI-00037,ai-assisted moderation services,ST-ME-008-02-01,AI-Assisted Moderation Services,HIGH
ALI-00038,all bs accounts,ST-FA-004-02-04,Account Certification,LOW
ALI-00039,ami deployment,ST-EN-001-01-01,AMI Deployment,HIGH
ALI-00040,analysis,ST-CL-002-01-03,IND/CTA Preparation,LOW
ALI-00041,analysis,ST-CL-005-01-01,Statistical Analysis Planning,LOW
ALI-00042,analysis,ST-CL-005-01-02,Statistical Programming,LOW
ALI-00043,analysis,ST-CL-006-01-03,Informed Consent Forms,LOW
ALI-00044,analysis,ST-CL-006-01-04,Clinical Study Reports,LOW
ALI-00045,analysis,ST-COP-001-06-02,SEO Audit,LOW
ALI-00046,analysis,ST-ME-002-02-03,Re-Recording Mixing,LOW
ALI-00047,analysis,ST-ME-005-02-01,Lip-Sync Dubbing,LOW
ALI-00048,analysis,ST-ME-005-02-02,Voice-Over Recording,LOW
ALI-00049,analysis,ST-ME-007-01-03,Metadata Management,LOW
ALI-00050,anomalies,ST-FA-004-02-06,Audit Analytics,LOW
ALI-00051,anti-piracy,ST-ME-004-02-01,Anti-Piracy Services,MEDIUM
ALI-00052,anti-piracy services,ST-ME-004-02-01,Anti-Piracy Services,HIGH
ALI-00053,ap,ST-FA-001-01-01,Invoice Processing,LOW
ALI-00054,ap processing,ST-FA-001-01-01,Invoice Processing,MEDIUM
ALI-00055,api development & integration,ST-IT-001-01-03,API Development & Integration,HIGH
ALI-00056,appeal review,ST-COP-002-06-01,Appeal Review,HIGH
ALI-00057,appeals & escalation,ST-ME-008-04-01,Appeals & Escalation Services,MEDIUM
ALI-00058,appeals & escalation services,ST-ME-008-04-01,Appeals & Escalation Services,HIGH
ALI-00059,applicant screening,ST-HR-006-02-03,Applicant Screening,HIGH
ALI-00060,application performance monitoring,ST-IT-001-02-06,Application Performance Monitoring,HIGH
ALI-00061,application support,ST-IT-001-02-01,Application Support L1/L2/L3,MEDIUM
ALI-00062,application support l1/l2/l3,ST-IT-001-02-01,Application Support L1/L2/L3,HIGH
ALI-00063,appointment setting,ST-CO-002-02-02,Appointment Setting,HIGH
